name-nl,price,artnum,image,link
"Binnendeur opdek UV wit gelakt RAL 9010 links 83x201,5 cm","83,00 €*",8007462,https://media.hornbach.nl/hb/packshot/as.103115330.jpg?dvid=8,https://www.hornbach.nl/p/binnendeur-opdek-uv-wit-gelakt-ral-9010-links-83x201-5-cm/8007462/
"PERTURA Binnendeur industrieel 1000 stomp 73x201,5 cm","389,00 €*",6771880,https://media.hornbach.nl/hb/packshot/as.103115321.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-industrieel-1000-stomp-73x201-5-cm/6771880/
"PERTURA Binnendeur industrieel zwart 1002 stomp 73x201,5 cm","389,00 €*",6771910,https://media.hornbach.nl/hb/packshot/as.46770310.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-industrieel-zwart-1002-stomp-73x201-5-cm/6771910/
"PERTURA Binnendeur 7000 Binnendeur stomp eiken 73x201,5 cm","415,00 €*",10351481,https://media.hornbach.nl/hb/packshot/as.47576943.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-7000-binnendeur-stomp-eiken-73x201-5-cm/10351481/
"PERTURA Binnendeur 303 stomp wit gegrond 78x201,5 cm","185,00 €*",8702190,https://media.hornbach.nl/hb/packshot/as.47275049.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-303-stomp-wit-gegrond-78x201-5-cm/8702190/
"PERTURA Binnendeur 405 stomp wit gegrond 83x201,5 cm","114,00 €*",10274681,https://media.hornbach.nl/hb/packshot/as.6799351.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-405-stomp-wit-gegrond-83x201-5-cm/10274681/
"Binnendeur stomp 83x201,5 cm","36,00 €*",8007487,https://media.hornbach.nl/hb/packshot/as.47297443.jpg?dvid=8,https://www.hornbach.nl/p/binnendeur-stomp-83x201-5-cm/8007487/
"PERTURA Binnendeur 304 opdek links wit gegrond 73x201,5 cm","205,00 €*",8702197,https://media.hornbach.nl/hb/packshot/as.98265755.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-304-opdek-links-wit-gegrond-73x201-5-cm/8702197/
"PERTURA Binnendeur industrieel zwart 1000 opdek links 83x201,5 cm","389,00 €*",6771891,https://media.hornbach.nl/hb/packshot/as.92434207.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-industrieel-zwart-1000-opdek-links-83x201-5-cm/6771891/
"PERTURA Binnendeur classic 407 stomp wit gegrond 83x201,5 cm","99,00 €*",6157063,https://media.hornbach.nl/hb/packshot/as.46089731.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-classic-407-stomp-wit-gegrond-83x201-5-cm/6157063/
"PERTURA Binnendeur 408 stomp wit gegrond 83x201,5 cm","102,00 €*",6157089,https://media.hornbach.nl/hb/packshot/as.46089864.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-408-stomp-wit-gegrond-83x201-5-cm/6157089/
"PERTURA Binnendeur industrieel zwart 1002 opdek links 83x201,5 cm","389,00 €*",6771921,https://media.hornbach.nl/hb/packshot/as.93375353.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-industrieel-zwart-1002-opdek-links-83x201-5-cm/6771921/
"PERTURA Binnendeur 306 stomp wit gegrond 231,5x83 cm","205,00 €*",10579166,https://media.hornbach.nl/hb/packshot/as.52067150.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-306-stomp-wit-gegrond-231-5x83-cm/10579166/
"PERTURA Binnendeur 205 stomp wit gegrond 83x201,5 cm","254,00 €*",8701879,https://media.hornbach.nl/hb/packshot/as.47274154.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-205-stomp-wit-gegrond-83x201-5-cm/8701879/
"PERTURA Binnendeur 308 stomp zwart gegrond 231,5x88 cm","230,00 €*",10579168,https://media.hornbach.nl/hb/packshot/as.52069920.jpg?dvid=8,https://www.hornbach.nl/p/pertura-binnendeur-308-stomp-zwart-gegrond-231-5x88-cm/10579168/
