name-nl,price,artnum,image,link
ARON BASIC Dakraam kunststof wit (bxh) 55x78 cm,"280,00 €*",10577776,https://media.hornbach.nl/hb/packshot/as.79202116.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-kunststof-wit-bxh-55x78-cm/10577776/
ARON BASIC Dakraam kunststof wit (bxh) 78x98 cm,"343,00 €*",10577831,https://media.hornbach.nl/hb/packshot/as.79202116.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-kunststof-wit-bxh-78x98-cm/10577831/
ARON BASIC Dakraam kunststof wit (bxh) 78x118 cm,"372,00 €*",10577780,https://media.hornbach.nl/hb/packshot/as.79202116.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-kunststof-wit-bxh-78x118-cm/10577780/
ARON BASIC Dakraam kunststof wit (bxh) 114x118 cm,"440,00 €*",10571990,https://media.hornbach.nl/hb/packshot/as.79202116.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-kunststof-wit-bxh-114x118-cm/10571990/
ARON BASIC Dakraam kunststof wit (bxh) 134x98 cm,"440,00 €*",10572022,https://media.hornbach.nl/hb/packshot/as.79202116.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-kunststof-wit-bxh-134x98-cm/10572022/
ARON BASIC Dakraam hout blank afgelakt (bxh) 55x78 cm,"230,00 €*",10577777,https://media.hornbach.nl/hb/packshot/as.52261963.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-blank-afgelakt-bxh-55x78-cm/10577777/
ARON BASIC Dakraam hout blank afgelakt (bxh) 78x98 cm,"270,00 €*",10577778,https://media.hornbach.nl/hb/packshot/as.52263150.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-blank-afgelakt-bxh-78x98-cm/10577778/
ARON BASIC Dakraam hout blank afgelakt (bxh) 78x118 cm,"307,00 €*",10577779,https://media.hornbach.nl/hb/packshot/as.52263833.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-blank-afgelakt-bxh-78x118-cm/10577779/
ARON BASIC Dakraam hout blank afgelakt (bxh) 114x118 cm,"353,00 €*",10571989,https://media.hornbach.nl/hb/packshot/as.51707221.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-blank-afgelakt-bxh-114x118-cm/10571989/
ARON BASIC Dakraam hout blank afgelakt (bxh) 134x98 cm,"353,00 €*",10572021,https://media.hornbach.nl/hb/packshot/as.51707266.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-blank-afgelakt-bxh-134x98-cm/10572021/
ARON BASIC Dakraam hout wit (bxh) 55x78 cm,"280,00 €*",10572023,https://media.hornbach.nl/hb/packshot/as.51707290.jpg?dvid=8,https://www.hornbach.nl/p/aron-basic-dakraam-hout-wit-bxh-55x78-cm/10572023/
