name-nl,price,artnum,image,link
"MIOFOL® 125S - Gewapende dampremmende folie, 1,5x25m","57,95 €*",7235128,https://media.hornbach.nl/hb/packshot/as.91763765.jpg?dvid=8,https://www.hornbach.nl/p/miofol-125s-gewapende-dampremmende-folie-1-5x25m/7235128/
"MIOFOL® 125G - Waterkerende dampdoorlatende folie, 1,5x25m","56,95 €*",7049802,https://media.hornbach.nl/hb/packshot/as.91530153.jpg?dvid=8,https://www.hornbach.nl/p/miofol-125g-waterkerende-dampdoorlatende-folie-1-5x25m/7049802/
"MIOFOL® Active - Variabele dampremmende folie (klimaatfolie), 1,5 x 30 m","152,75 €*",10586056,https://media.hornbach.nl/hb/packshot/as.100974819.jpg?dvid=8,https://www.hornbach.nl/p/miofol-active-variabele-dampremmende-folie-klimaatfolie-1-5-x-30-m/10586056/
"MIOFOL® 125AV - Dampdichte folie, 1,5x25m","79,95 €*",7235127,https://media.hornbach.nl/hb/packshot/as.91520730.jpg?dvid=8,https://www.hornbach.nl/p/miofol-125av-dampdichte-folie-1-5x25m/7235127/
"MIOFOL® 125AV - Dampdichte folie, 1,5x50m","144,95 €*",10509580,https://media.hornbach.nl/hb/packshot/as.91520730.jpg?dvid=8,https://www.hornbach.nl/p/miofol-125av-dampdichte-folie-1-5x50m/10509580/
"VASTR® Aluminium tape, 75mmx25m","18,45 €*",7235131,https://media.hornbach.nl/hb/packshot/as.93381123.jpg?dvid=8,https://www.hornbach.nl/p/vastr-aluminium-tape-75mmx25m/7235131/
"VASTR® Folie tape basic, 75mmx25m","12,95 €*",7235130,https://media.hornbach.nl/hb/packshot/as.93469763.jpg?dvid=8,https://www.hornbach.nl/p/vastr-folie-tape-basic-75mmx25m/7235130/
"POLYTEX® Original - Waterkerende damp-open spinvliesfolie, 1,5x25m","74,85 €*",7103371,https://media.hornbach.nl/hb/packshot/as.92950040.jpg?dvid=8,https://www.hornbach.nl/p/polytex-original-waterkerende-damp-open-spinvliesfolie-1-5x25m/7103371/
"VASTR® Butyl tape, 30mmx20m","19,50 €*",10586054,https://media.hornbach.nl/hb/packshot/as.93381136.jpg?dvid=8,https://www.hornbach.nl/p/vastr-butyl-tape-30mmx20m/10586054/
"VASTR® Spinvlies tape, 75mmx25m","34,50 €*",10586051,https://media.hornbach.nl/hb/packshot/as.93470362.jpg?dvid=8,https://www.hornbach.nl/p/vastr-spinvlies-tape-75mmx25m/10586051/
"VASTR® - Totaal tape (wit), 60mmx25m","22,00 €*",10587514,https://media.hornbach.nl/hb/packshot/as.93470593.jpg?dvid=8,https://www.hornbach.nl/p/vastr-totaal-tape-wit-60mmx25m/10587514/
"POLYTEX® Fassade FR - Waterdichte damp-open folie (UV-bestendig), 1,5x50m","356,95 €*",10585977,https://media.hornbach.nl/hb/packshot/as.92948794.jpg?dvid=8,https://www.hornbach.nl/p/polytex-fassade-fr-waterdichte-damp-open-folie-uv-bestendig-1-5x50m/10585977/
"TYVEK® Tape, 75mmx25m","37,95 €*",10586063,https://media.hornbach.nl/hb/packshot/as.93379950.jpg?dvid=8,https://www.hornbach.nl/p/tyvek-tape-75mmx25m/10586063/
"TYVEK® UV Facade Plus - Waterkerende damp-open folie (met kleefstrook), 1,5x50m","413,55 €*",10586062,https://media.hornbach.nl/hb/packshot/as.93380056.jpg?dvid=8,https://www.hornbach.nl/p/tyvek-uv-facade-plus-waterkerende-damp-open-folie-met-kleefstrook-1-5x50m/10586062/
"MIOFOL® AVS4 - Dampdichte vloerfolie (met kleefstrook), 1,5x25m","155,95 €*",10681771,https://media.hornbach.nl/hb/packshot/as.91789792.jpg?dvid=8,https://www.hornbach.nl/p/miofol-avs4-dampdichte-vloerfolie-met-kleefstrook-1-5x25m/10681771/
"POLYTEX® Pro - Waterdichte damp-open spinvliesfolie, 1,5x50m","199,50 €*",10586064,https://media.hornbach.nl/hb/packshot/as.92960506.jpg?dvid=8,https://www.hornbach.nl/p/polytex-pro-waterdichte-damp-open-spinvliesfolie-1-5x50m/10586064/
"POLYTEX® Pro - Waterdichte damp-open spinvliesfolie, 3x50m","449,95 €*",10585978,https://media.hornbach.nl/hb/packshot/as.92960506.jpg?dvid=8,https://www.hornbach.nl/p/polytex-pro-waterdichte-damp-open-spinvliesfolie-3x50m/10585978/
"TYVEK® FlexWrap tape, 60mmx10m","36,95 €*",10586041,https://media.hornbach.nl/hb/packshot/as.93359102.jpg?dvid=8,https://www.hornbach.nl/p/tyvek-flexwrap-tape-60mmx10m/10586041/
"TYVEK® Soft - Waterkerende damp-open folie, 1,5x50m","150,00 €*",10586059,https://media.hornbach.nl/hb/packshot/as.93379478.jpg?dvid=8,https://www.hornbach.nl/p/tyvek-soft-waterkerende-damp-open-folie-1-5x50m/10586059/
"VASTR® Nageldichtband, 60mmx20m","26,95 €*",10586067,https://media.hornbach.nl/hb/packshot/as.93470091.jpg?dvid=8,https://www.hornbach.nl/p/vastr-nageldichtband-60mmx20m/10586067/
"PREMIUMFOL Multitop ST dampopen dakfolie 1,5x25 m","69,95 €*",10675371,https://media.hornbach.nl/hb/packshot/as.75900287.jpg?dvid=8,https://www.hornbach.nl/p/premiumfol-multitop-st-dampopen-dakfolie-1-5x25-m/10675371/
"POLYTEX® Fassade ECO - Waterdichte damp-open folie (UV-bestendig), 1,5x25m","184,95 €*",12170313,https://media.hornbach.nl/hb/packshot/as.95327030.jpg?dvid=8,https://www.hornbach.nl/p/polytex-fassade-eco-waterdichte-damp-open-folie-uv-bestendig-1-5x25m/12170313/
"MIOFOL® 150A - Dampdichte folie, 1,5x50m","161,00 €*",10586069,https://media.hornbach.nl/hb/packshot/as.91766662.jpg?dvid=8,https://www.hornbach.nl/p/miofol-150a-dampdichte-folie-1-5x50m/10586069/
"MIOFOL® 150A - Dampdichte folie, 3x50m","353,00 €*",10586048,https://media.hornbach.nl/hb/packshot/as.91766662.jpg?dvid=8,https://www.hornbach.nl/p/miofol-150a-dampdichte-folie-3x50m/10586048/
"VASTR® Facade tape, 60mmx25m","39,25 €*",10586052,https://media.hornbach.nl/hb/packshot/as.93381869.jpg?dvid=8,https://www.hornbach.nl/p/vastr-facade-tape-60mmx25m/10586052/
"MIOFOAM® - Geluidsabsorptie, 120x50x2,5cm","15,25 €*",10587450,https://media.hornbach.nl/hb/packshot/as.91520188.jpg?dvid=8,https://www.hornbach.nl/p/miofoam-geluidsabsorptie-120x50x2-5cm/10587450/
"PREMIUMFOL Top dampremmende dakfolie 1,5x25 m","48,95 €*",10675364,https://media.hornbach.nl/hb/packshot/as.64910418.jpg?dvid=8,https://www.hornbach.nl/p/premiumfol-top-dampremmende-dakfolie-1-5x25-m/10675364/
"PERFO® - Waterkerende dampdoorlatende folie, 1,5x50m","79,95 €*",10586071,https://media.hornbach.nl/hb/packshot/as.92943401.jpg?dvid=8,https://www.hornbach.nl/p/perfo-waterkerende-dampdoorlatende-folie-1-5x50m/10586071/
"PERFO® - Waterkerende dampdoorlatende folie, 3x50m","224,40 €*",10585979,https://media.hornbach.nl/hb/packshot/as.92943401.jpg?dvid=8,https://www.hornbach.nl/p/perfo-waterkerende-dampdoorlatende-folie-3x50m/10585979/
"MIOFOL® VS2 - Dampremmende vloerfolie, 1,5x35m","191,40 €*",10586050,https://media.hornbach.nl/hb/packshot/as.92942798.jpg?dvid=8,https://www.hornbach.nl/p/miofol-vs2-dampremmende-vloerfolie-1-5x35m/10586050/
"TYVEK® Metal - Waterdichte damp-open folie, 1,5x25m","425,00 €*",10586068,https://media.hornbach.nl/hb/packshot/as.93359999.jpg?dvid=8,https://www.hornbach.nl/p/tyvek-metal-waterdichte-damp-open-folie-1-5x25m/10586068/
Noodraam folie 2x5 m,"18,95 €*",7235129,https://media.hornbach.nl/hb/packshot/as.47345510.jpg?dvid=8,https://www.hornbach.nl/p/noodraam-folie-2x5-m/7235129/
PREMIUMFOL Multitop tape 60mm x 25m,"18,95 €*",10675340,https://media.hornbach.nl/hb/packshot/as.64909680.jpg?dvid=8,https://www.hornbach.nl/p/premiumfol-multitop-tape-60mm-x-25m/10675340/
"MIOFOL® 170AG - Waterkerende dampdoorlatende folie, 1,5x50m","148,45 €*",10586049,https://media.hornbach.nl/hb/packshot/as.91767291.jpg?dvid=8,https://www.hornbach.nl/p/miofol-170ag-waterkerende-dampdoorlatende-folie-1-5x50m/10586049/
"MIOFOL® 170AG - Waterkerende dampdoorlatende folie, 2,6x50m","279,95 €*",10586046,https://media.hornbach.nl/hb/packshot/as.54116066.jpg?dvid=8,https://www.hornbach.nl/p/miofol-170ag-waterkerende-dampdoorlatende-folie-2-6x50m/10586046/
"MIOFOL® 170AG - Waterkerende dampdoorlatende folie, 3x50m","345,00 €*",10586055,https://media.hornbach.nl/hb/packshot/as.91767291.jpg?dvid=8,https://www.hornbach.nl/p/miofol-170ag-waterkerende-dampdoorlatende-folie-3x50m/10586055/
"VASTR® - Totaal tape (zwart), 60mmx25m","23,95 €*",10587516,https://media.hornbach.nl/hb/packshot/as.93470586.jpg?dvid=8,https://www.hornbach.nl/p/vastr-totaal-tape-zwart-60mmx25m/10587516/
"POLYTEX® Pro Plus - Waterdichte damp-open spinvliesfolie (met kleefstrook), 1,5x50m","249,95 €*",10585980,https://media.hornbach.nl/hb/packshot/as.92960506.jpg?dvid=8,https://www.hornbach.nl/p/polytex-pro-plus-waterdichte-damp-open-spinvliesfolie-met-kleefstrook-1-5x50m/10585980/
"PREMIUMFOL Top G gevelfolie 1,5x25 m","47,95 €*",10675363,https://media.hornbach.nl/hb/packshot/as.64911019.jpg?dvid=8,https://www.hornbach.nl/p/premiumfol-top-g-gevelfolie-1-5x25-m/10675363/
"VASTR® Seal Pro, 10mmx12m","27,75 €*",10586043,https://media.hornbach.nl/hb/packshot/as.93470211.jpg?dvid=8,https://www.hornbach.nl/p/vastr-seal-pro-10mmx12m/10586043/
"POLYTEX® 145AG - Waterdichte damp-open spinvliesfolie, 1,5x50m","219,00 €*",10586057,https://media.hornbach.nl/hb/packshot/as.92946757.jpg?dvid=8,https://www.hornbach.nl/p/polytex-145ag-waterdichte-damp-open-spinvliesfolie-1-5x50m/10586057/
