name-nl,price,artnum,image,link
"SINIAT Gipswandplaat afgeschuinde kant 2600 x 600 x 12,5 mm","5,80 €*",8415059,https://media.hornbach.nl/hb/detail/as.47096645.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipswandplaat-afgeschuinde-kant-2600-x-600-x-12-5-mm/8415059/
"SINIAT Gipswandplaat afgeschuinde kant 3000 x 600 x 12,5 mm","6,95 €*",8415060,https://media.hornbach.nl/hb/detail/as.47096645.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipswandplaat-afgeschuinde-kant-3000-x-600-x-12-5-mm/8415060/
"Siniat Stucplaat ronde kant direct stucbaar 2000 x 400 x 9,5 mm","2,70 €*",8415054,https://media.hornbach.nl/hb/detail/as.46736293.jpg?dvid=8,https://www.hornbach.nl/p/siniat-stucplaat-ronde-kant-direct-stucbaar-2000-x-400-x-9-5-mm/8415054/
"SINIAT Stucplaat ronde kant direct stucbaar 2000 x 600 x 9,5 mm","3,90 €*",6536479,https://media.hornbach.nl/hb/detail/as.46736293.jpg?dvid=8,https://www.hornbach.nl/p/siniat-stucplaat-ronde-kant-direct-stucbaar-2000-x-600-x-9-5-mm/6536479/
"SINIAT Gipswandplaat afgeschuinde kant 2600 x 1200 x 12,5 mm","11,75 €*",8415061,https://media.hornbach.nl/hb/detail/as.47096645.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipswandplaat-afgeschuinde-kant-2600-x-1200-x-12-5-mm/8415061/
"SINIAT Gipswandplaat HYDRO afgeschuinde kant voor vochtige ruimte 2600 x 600 x 12,5 mm","10,95 €*",8908016,https://media.hornbach.nl/hb/packshot/as.64284720.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipswandplaat-hydro-afgeschuinde-kant-voor-vochtige-ruimte-2600-x-600-x-12-5-mm/8908016/
"SINIAT Gipsplafondplaat ronde kant 2000 x 600 x 9,5 mm","4,25 €*",8415055,https://media.hornbach.nl/hb/detail/as.47096604.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-ronde-kant-2000-x-600-x-9-5-mm/8415055/
"SINIAT Gipsplafondplaat ronde kant 2600 x 600 x 9,5 mm","5,50 €*",8415056,https://media.hornbach.nl/hb/detail/as.47096604.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-ronde-kant-2600-x-600-x-9-5-mm/8415056/
"SINIAT Gipsplafondplaat ronde kant 3000 x 600 x 9,5 mm","6,35 €*",8415057,https://media.hornbach.nl/hb/detail/as.47096604.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-ronde-kant-3000-x-600-x-9-5-mm/8415057/
"SINIAT Gipsplafondplaat ronde kant 3600 x 600 x 9,5 mm","7,65 €*",8415058,https://media.hornbach.nl/hb/detail/as.47096604.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-ronde-kant-3600-x-600-x-9-5-mm/8415058/
"SINIAT Gipsplafondplaat HYDRO ronde kant voor vochtige ruimte 1200 x 600 x 9,5 mm","4,50 €*",8415052,https://media.hornbach.nl/hb/detail/as.47096428.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-hydro-ronde-kant-voor-vochtige-ruimte-1200-x-600-x-9-5-mm/8415052/
"SINIAT Gipsplafondplaat HYDRO ronde kant voor vochtige ruimte 2600 x 600 x 9,5 mm","9,75 €*",8415053,https://media.hornbach.nl/hb/detail/as.47096428.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplafondplaat-hydro-ronde-kant-voor-vochtige-ruimte-2600-x-600-x-9-5-mm/8415053/
FERMACELL Gipsvezelplaat 1500 x 1000 x 10 mm,"12,95 €*",200340,https://media.hornbach.nl/hb/packshot/as.46034183.jpg?dvid=8,https://www.hornbach.nl/p/fermacell-gipsvezelplaat-1500-x-1000-x-10-mm/200340/
"FERMACELL Slimpanel 2AK 2600 x 600 x 12,5 mm","16,95 €*",6781392,https://media.hornbach.nl/hb/packshot/as.47153990.jpg?dvid=8,https://www.hornbach.nl/p/fermacell-slimpanel-2ak-2600-x-600-x-12-5-mm/6781392/
SINIAT Gipsplaat brandwerend Novlam 2600 x 1200 x 15 mm,"19,95 €*",10320391,https://media.hornbach.nl/hb/packshot/as.23553793.jpg?dvid=8,https://www.hornbach.nl/p/siniat-gipsplaat-brandwerend-novlam-2600-x-1200-x-15-mm/10320391/
"FERMACELL Comfortboard 4AK 1200 x 900 x 12,5 mm","12,95 €*",5921101,https://media.hornbach.nl/hb/packshot/as.46194872.jpg?dvid=8,https://www.hornbach.nl/p/fermacell-comfortboard-4ak-1200-x-900-x-12-5-mm/5921101/
"Gipskartonplaat brandvertragend 1200x2600x12,5mm","19,95 €*",5789267,https://media.hornbach.nl/hb/packshot/as.74700396.jpg?dvid=8,https://www.hornbach.nl/p/gipskartonplaat-brandvertragend-1200x2600x12-5mm/5789267/
