name-nl,price,artnum,image,link
"ISOVER Zolderisolatie glaswoldeken Rd 4,0 5000x600x160 mm","8,83 €*",5995842,https://media.hornbach.nl/hb/packshot/as.46682469.jpg?dvid=8,https://www.hornbach.nl/p/isover-zolderisolatie-glaswoldeken-rd-4-0-5000x600x160-mm/5995842/
"ISOVER Sonepanel glaswol isolatieplaat Rd 1,60 1350x600x60 mm","4,26 €*",10484207,https://media.hornbach.nl/hb/packshot/as.85299283.jpg?dvid=8,https://www.hornbach.nl/p/isover-sonepanel-glaswol-isolatieplaat-rd-1-60-1350x600x60-mm/10484207/
"ISOVER Zolderisolatie glaswoldeken Rd 2,5 6667x600x100 mm","6,34 €*",5995841,https://media.hornbach.nl/hb/packshot/as.46682378.jpg?dvid=8,https://www.hornbach.nl/p/isover-zolderisolatie-glaswoldeken-rd-2-5-6667x600x100-mm/5995841/
"ISOVER Sonepanel glaswol isolatieplaat Rd 1,20 1350x600x45 mm","3,17 €*",10484206,https://media.hornbach.nl/hb/packshot/as.85299283.jpg?dvid=8,https://www.hornbach.nl/p/isover-sonepanel-glaswol-isolatieplaat-rd-1-20-1350x600x45-mm/10484206/
"ISOVER Rollisol plus glaswol isolatiedeken Rd 2,00 9000x600x80 mm","6,59 €*",5995839,https://media.hornbach.nl/hb/packshot/as.46682270.jpg?dvid=8,https://www.hornbach.nl/p/isover-rollisol-plus-glaswol-isolatiedeken-rd-2-00-9000x600x80-mm/5995839/
"ISOVER Mupan glaswol isolatieplaat Rd 2,25 800x1200x80 mm","7,14 €*",5995838,https://media.hornbach.nl/hb/packshot/as.46682027.jpg?dvid=8,https://www.hornbach.nl/p/isover-mupan-glaswol-isolatieplaat-rd-2-25-800x1200x80-mm/5995838/
"ISOVER Rollisol plus glaswol isolatiedeken Rd 3,00 10000x600x120 mm","8,19 €*",5995840,https://media.hornbach.nl/hb/packshot/as.46682270.jpg?dvid=8,https://www.hornbach.nl/p/isover-rollisol-plus-glaswol-isolatiedeken-rd-3-00-10000x600x120-mm/5995840/
"ISOVER Rollisol plus glaswol isolatiedeken Rd 4,50 4000x600x180 mm","18,13 €*",6021469,https://media.hornbach.nl/hb/packshot/as.46682270.jpg?dvid=8,https://www.hornbach.nl/p/isover-rollisol-plus-glaswol-isolatiedeken-rd-4-50-4000x600x180-mm/6021469/
"ISOVER Amarillo woonzolder isolatiesysteem Rd 3,5 1500x600x140 mm","70,35 €*",10227926,https://media.hornbach.nl/hb/packshot/as.47098911.jpg?dvid=8,https://www.hornbach.nl/p/isover-amarillo-woonzolder-isolatiesysteem-rd-3-5-1500x600x140-mm/10227926/
"ISOVER Glaswol isolatieplaat Rd 3,85 1200x600x140 mm","32,75 €*",12104570,https://media.hornbach.nl/hb/packshot/as.89244433.jpg?dvid=8,https://www.hornbach.nl/p/isover-glaswol-isolatieplaat-rd-3-85-1200x600x140-mm/12104570/
