name-nl,price,artnum,image,link
BISON Houtlijm 75 g,"2,79 €*",4138903,https://media.hornbach.nl/hb/packshot/as.99469658.jpg?dvid=8,https://www.hornbach.nl/p/bison-houtlijm-75-g/4138903/
BISON Prof Konstruktiebruislijm flacon 750 g,"14,95 €*",4622550,https://media.hornbach.nl/hb/packshot/as.46106782.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-konstruktiebruislijm-flacon-750-g/4622550/
BISON Houtlijm extra 75 g,"3,09 €*",4138975,https://media.hornbach.nl/hb/packshot/as.122382160.jpg?dvid=8,https://www.hornbach.nl/p/bison-houtlijm-extra-75-g/4138975/
BISON Wood max koker 380 g,"12,89 €*",6012077,https://media.hornbach.nl/hb/packshot/as.100949885.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-koker-380-g/6012077/
BISON Konstruktie tix 310 ml,"14,69 €*",4138997,https://media.hornbach.nl/hb/packshot/as.46515744.jpg?dvid=8,https://www.hornbach.nl/p/bison-konstruktie-tix-310-ml/4138997/
BISON Konstruktielijm flacon 75 g,"4,19 €*",4138978,https://media.hornbach.nl/hb/packshot/as.122374430.jpg?dvid=8,https://www.hornbach.nl/p/bison-konstruktielijm-flacon-75-g/4138978/
BISON Konstruktielijm fiber 750 g,"21,95 €*",8233103,https://media.hornbach.nl/hb/packshot/as.47194469.jpg?dvid=8,https://www.hornbach.nl/p/bison-konstruktielijm-fiber-750-g/8233103/
BISON Prof houtlijm VB20 wit flacon 750 g,"11,49 €*",4622037,https://media.hornbach.nl/hb/packshot/as.122346803.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-vb20-wit-flacon-750-g/4622037/
SOUDAL parket afdichtingskit eiken 290 ml,"8,95 €*",8668366,https://media.hornbach.nl/hb/packshot/as.47375985.jpg?dvid=8,https://www.hornbach.nl/p/soudal-parket-afdichtingskit-eiken-290-ml/8668366/
SOUDAL Laminaat & parket voegkit licht eiken 300 ml,"8,95 €*",8271092,https://media.hornbach.nl/hb/packshot/as.47380880.jpg?dvid=8,https://www.hornbach.nl/p/soudal-laminaat-parket-voegkit-licht-eiken-300-ml/8271092/
PATTEX Hout plinten montagekit 380 g,"9,49 €*",12187336,https://media.hornbach.nl/hb/packshot/as.112637140.jpg?dvid=8,https://www.hornbach.nl/p/pattex-hout-plinten-montagekit-380-g/12187336/
BISON Hout & vloer naturel 310 ml,"6,29 €*",4178241,https://media.hornbach.nl/hb/packshot/as.46038363.jpg?dvid=8,https://www.hornbach.nl/p/bison-hout-vloer-naturel-310-ml/4178241/
BISON Konstr. tix topspeed 310 ml,"15,49 €*",4139013,https://media.hornbach.nl/hb/packshot/as.98097528.jpg?dvid=8,https://www.hornbach.nl/p/bison-konstr-tix-topspeed-310-ml/4139013/
BISON Prof construktiebruislijm bruin flacon 250 g,"8,49 €*",4622560,https://media.hornbach.nl/hb/packshot/as.46108410.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-construktiebruislijm-bruin-flacon-250-g/4622560/
BISON Houtlijm topspeed 75 g,"2,95 €*",4138907,https://media.hornbach.nl/hb/packshot/as.122404238.jpg?dvid=8,https://www.hornbach.nl/p/bison-houtlijm-topspeed-75-g/4138907/
BISON Hout & vloer klassiek koker 310 ml,"6,29 €*",4178240,https://media.hornbach.nl/hb/packshot/as.122397939.jpg?dvid=8,https://www.hornbach.nl/p/bison-hout-vloer-klassiek-koker-310-ml/4178240/
ROXOLID Wood-X houtlijm d3 750 g,"7,89 €*",10247433,https://media.hornbach.nl/hb/packshot/as.47284993.jpg?dvid=8,https://www.hornbach.nl/p/roxolid-wood-x-houtlijm-d3-750-g/10247433/
ROXOLID Wood-X houtlijm d3 263 g,"5,39 €*",10247432,https://media.hornbach.nl/hb/packshot/as.47284074.jpg?dvid=8,https://www.hornbach.nl/p/roxolid-wood-x-houtlijm-d3-263-g/10247432/
BISON Wood max® express tube 380 g,"19,49 €*",10273473,https://media.hornbach.nl/hb/packshot/as.6773697.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-express-tube-380-g/10273473/
BISON Wood Max houtconstructielijm kit 320 g,"18,79 €*",10575530,https://media.hornbach.nl/hb/packshot/as.122344333.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-houtconstructielijm-kit-320-g/10575530/
PATTEX Houtlijm PU construct 250 g,"12,79 €*",8547681,https://media.hornbach.nl/hb/packshot/as.47475651.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-pu-construct-250-g/8547681/
PATTEX Houtlijm PU construct 750 g,"26,95 €*",8547683,https://media.hornbach.nl/hb/packshot/as.48530725.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-pu-construct-750-g/8547683/
PATTEX Houtlijm waterproof 75 g,"7,95 €*",4194751,https://media.hornbach.nl/hb/packshot/as.46155504.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-waterproof-75-g/4194751/
BISON Prof houtlijm ST10 wit flacon 750 g,"9,39 €*",4622552,https://media.hornbach.nl/hb/packshot/as.46107198.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-st10-wit-flacon-750-g/4622552/
BISON Prof hout max beige koker 380 g,"12,69 €*",4622558,https://media.hornbach.nl/hb/packshot/as.46108015.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-hout-max-beige-koker-380-g/4622558/
BISON Prof houtlijm VB20 wit flacon 250 g,"5,89 €*",4622548,https://media.hornbach.nl/hb/packshot/as.46106449.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-vb20-wit-flacon-250-g/4622548/
BISON Hout & vloer white wash koker 310 ml,"6,29 €*",8613294,https://media.hornbach.nl/hb/packshot/as.47434955.jpg?dvid=8,https://www.hornbach.nl/p/bison-hout-vloer-white-wash-koker-310-ml/8613294/
SOUDAL parket afdichtingskit lichtgrijs 290 ml,"6,95 €*",5797821,https://media.hornbach.nl/hb/packshot/as.46792210.jpg?dvid=8,https://www.hornbach.nl/p/soudal-parket-afdichtingskit-lichtgrijs-290-ml/5797821/
BISON Hout & vloer vergrijsd koker 310 ml,"6,29 €*",8613295,https://media.hornbach.nl/hb/packshot/as.47435239.jpg?dvid=8,https://www.hornbach.nl/p/bison-hout-vloer-vergrijsd-koker-310-ml/8613295/
SOUDAL Wood Fix constructielijm 290 ml,"12,25 €*",6760629,https://media.hornbach.nl/hb/packshot/as.46367070.jpg?dvid=8,https://www.hornbach.nl/p/soudal-wood-fix-constructielijm-290-ml/6760629/
PATTEX Houtlijm classic 75 g,"2,95 €*",4194749,https://media.hornbach.nl/hb/packshot/as.46154360.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-classic-75-g/4194749/
BISON Prof houtlijm ES30 wit flacon 750 g,"11,95 €*",4622565,https://media.hornbach.nl/hb/packshot/as.46109170.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-es30-wit-flacon-750-g/4622565/
PATTEX Houtlijm PU construct 310 ml,"17,69 €*",8547680,https://media.hornbach.nl/hb/packshot/as.47475526.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-pu-construct-310-ml/8547680/
PATTEX Houtlijm express 75 g,"7,95 €*",4194750,https://media.hornbach.nl/hb/packshot/as.46154733.jpg?dvid=8,https://www.hornbach.nl/p/pattex-houtlijm-express-75-g/4194750/
BISON Prof houtlijm ST10 wit flacon 250 g,"5,29 €*",4622549,https://media.hornbach.nl/hb/packshot/as.46106605.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-st10-wit-flacon-250-g/4622549/
BISON Prof houtlijm ES30 wit flacon 250 g,"5,95 €*",4622551,https://media.hornbach.nl/hb/packshot/as.46107007.jpg?dvid=8,https://www.hornbach.nl/p/bison-prof-houtlijm-es30-wit-flacon-250-g/4622551/
PATTEX Hout schrijnwerkerij montagekit 380 g,"9,49 €*",12187335,https://media.hornbach.nl/hb/packshot/as.112637009.jpg?dvid=8,https://www.hornbach.nl/p/pattex-hout-schrijnwerkerij-montagekit-380-g/12187335/
BISON Wood max® express tube 100 g,"5,69 €*",10273472,https://media.hornbach.nl/hb/packshot/as.6772827.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-express-tube-100-g/10273472/
Soudal parketafdichtmiddel donkergrijs 300 ml,"6,95 €*",5797820,https://media.hornbach.nl/hb/packshot/as.46791795.jpg?dvid=8,https://www.hornbach.nl/p/soudal-parketafdichtmiddel-donkergrijs-300-ml/5797820/
BISON Wood max® tube 100 g,"4,89 €*",4622554,https://media.hornbach.nl/hb/packshot/as.122345084.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-tube-100-g/4622554/
PATTEX Contactlijm oplosmiddelvrij 65 g,"11,95 €*",8232913,https://media.hornbach.nl/hb/packshot/as.116628656.jpg?dvid=8,https://www.hornbach.nl/p/pattex-contactlijm-oplosmiddelvrij-65-g/8232913/
BISON Wood Max houtconstructielijm tube 85 g,"7,39 €*",10574645,https://media.hornbach.nl/hb/packshot/as.51686392.jpg?dvid=8,https://www.hornbach.nl/p/bison-wood-max-houtconstructielijm-tube-85-g/10574645/
BISON Stic 21 g,"1,89 €*",5909482,https://media.hornbach.nl/hb/packshot/as.46541911.jpg?dvid=8,https://www.hornbach.nl/p/bison-stic-21-g/5909482/
