name-nl,price,artnum,image,link
"BONFIX Knel messing knie 15 x 15 mm, 2 stuks","9,15 €*",7884773,https://media.hornbach.nl/hb/packshot/as.46979358.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-knie-15-x-15-mm-2-stuks/7884773/
"BONFIX Knel messing eindkoppeling 15 mm, 2 stuks","6,50 €*",7884835,https://media.hornbach.nl/hb/packshot/as.46982039.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-eindkoppeling-15-mm-2-stuks/7884835/
"BONFIX Knel messing muurplaat 15 mm x 1/2"" binnendraad","7,25 €*",7884880,https://media.hornbach.nl/hb/packshot/as.46983315.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-muurplaat-15-mm-x-1-2-binnendraad/7884880/
"BONFIX Knel messing rechte koppeling 15 x 15 mm, 2 stuks","6,95 €*",7884813,https://media.hornbach.nl/hb/packshot/as.46981372.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-rechte-koppeling-15-x-15-mm-2-stuks/7884813/
BONFIX Knel messing T-stuk 15 x 15 x 15 mm,"6,55 €*",7884789,https://media.hornbach.nl/hb/packshot/as.46979678.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-t-stuk-15-x-15-x-15-mm/7884789/
BONFIX Knel messing knie 22 x 22 mm,"7,20 €*",7884778,https://media.hornbach.nl/hb/packshot/as.46979358.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-knie-22-x-22-mm/7884778/
"BONFIX Knel messing puntstuk 15 mm x 1/2"" buitendraad, 2 stuks","6,45 €*",7884867,https://media.hornbach.nl/hb/packshot/as.46983112.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-puntstuk-15-mm-x-1-2-buitendraad-2-stuks/7884867/
Knelkoppeling knie 22 mm verzinkt,"7,95 €*",7601711,https://media.hornbach.nl/hb/packshot/as.46904938.jpg?dvid=8,https://www.hornbach.nl/p/knelkoppeling-knie-22-mm-verzinkt/7601711/
"BONFIX Knel messing T-stuk 15 x 15 x 15 mm, 2 stuks","12,90 €*",7884790,https://media.hornbach.nl/hb/packshot/as.46979678.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-t-stuk-15-x-15-x-15-mm-2-stuks/7884790/
"BONFIX Knel messing eindkoppeling 12 mm, 2 stuks","5,00 €*",7884834,https://media.hornbach.nl/hb/packshot/as.46982039.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-eindkoppeling-12-mm-2-stuks/7884834/
BONFIX Knelset voor Alu-pers (Multilayer)16x2 mm x 15 mm knel,"4,45 €*",6053053,https://media.hornbach.nl/hb/packshot/as.46648370.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knelset-voor-alu-pers-multilayer16x2-mm-x-15-mm-knel/6053053/
BONFIX Knel kogelstopkraan 15 x 15 mm recht met knop,"12,50 €*",7884959,https://media.hornbach.nl/hb/packshot/as.46989086.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-kogelstopkraan-15-x-15-mm-recht-met-knop/7884959/
"BONFIX Knel messing knie 12 x 12 mm, 2 stuks","9,35 €*",7884766,https://media.hornbach.nl/hb/packshot/as.46979358.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-knie-12-x-12-mm-2-stuks/7884766/
"BONFIX Knel messing knie 15 x 15 mm, 5 stuks","22,00 €*",8534209,https://media.hornbach.nl/hb/packshot/as.46979358.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-knie-15-x-15-mm-5-stuks/8534209/
"BONFIX Knel messing muurplaat 12 mm x 1/2"" binnendraad","9,25 €*",7923416,https://media.hornbach.nl/hb/packshot/as.46865068.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-muurplaat-12-mm-x-1-2-binnendraad/7923416/
BONFIX Knel messing rechte koppeling 22 x 22 mm,"5,65 €*",7884818,https://media.hornbach.nl/hb/packshot/as.46980730.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-rechte-koppeling-22-x-22-mm/7884818/
Knelkoppeling knie 15 mm verzinkt,"4,90 €*",7600309,https://media.hornbach.nl/hb/packshot/as.46904938.jpg?dvid=8,https://www.hornbach.nl/p/knelkoppeling-knie-15-mm-verzinkt/7600309/
BONFIX Knel messing T-stuk 22 x 15 x 22 mm,"9,35 €*",7884797,https://media.hornbach.nl/hb/packshot/as.46980246.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-t-stuk-22-x-15-x-22-mm/7884797/
Stopkraan 12 mm knel x 3/8 vlakke draad chroom,"9,95 €*",8534206,https://media.hornbach.nl/hb/packshot/as.47224803.jpg?dvid=8,https://www.hornbach.nl/p/stopkraan-12-mm-knel-x-3-8-vlakke-draad-chroom/8534206/
BONFIX Knel messing T-stuk 22 x 22 x 22 mm,"9,40 €*",7884794,https://media.hornbach.nl/hb/packshot/as.46979678.jpg?dvid=8,https://www.hornbach.nl/p/bonfix-knel-messing-t-stuk-22-x-22-x-22-mm/7884794/
