name-nl,price,artnum,image,link
KONSTA Vuren balk geschaafd 44 x 69 x ca. 2100 mm,"3,25 €*",5185887,https://media.hornbach.nl/hb/packshot/as.95942123.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-69-x-ca-2100-mm/5185887/
KONSTA Vuren balk geschaafd 44 x 69 x ca. 2400 mm,"3,70 €*",5185888,https://media.hornbach.nl/hb/packshot/as.95942123.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-69-x-ca-2400-mm/5185888/
KONSTA Vuren balk geschaafd 44 x 69 x ca. 2700 mm,"4,20 €*",5185889,https://media.hornbach.nl/hb/packshot/as.95942123.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-69-x-ca-2700-mm/5185889/
KONSTA Vuren balk geschaafd 44 x 69 x ca. 3000 mm,"4,65 €*",5185890,https://media.hornbach.nl/hb/packshot/as.95942123.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-69-x-ca-3000-mm/5185890/
KONSTA Vuren balk geschaafd 44 x 69 x ca. 3600 mm,"5,60 €*",5185891,https://media.hornbach.nl/hb/packshot/as.95942123.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-69-x-ca-3600-mm/5185891/
KONSTA Vuren balk geschaafd 44 x 44 x ca. 2100 mm,"2,75 €*",5185883,https://media.hornbach.nl/hb/packshot/as.97245715.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-44-x-ca-2100-mm/5185883/
KONSTA Vuren balk geschaafd 44 x 44 x ca. 2400 mm,"3,10 €*",5185884,https://media.hornbach.nl/hb/packshot/as.97245715.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-44-x-ca-2400-mm/5185884/
KONSTA Vuren balk geschaafd 44 x 44 x ca. 2700 mm,"3,50 €*",5185885,https://media.hornbach.nl/hb/packshot/as.97245715.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-44-x-ca-2700-mm/5185885/
KONSTA Vuren balk geschaafd 44 x 44 x ca. 3600 mm,"4,70 €*",5185886,https://media.hornbach.nl/hb/packshot/as.97245715.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-44-x-ca-3600-mm/5185886/
KONSTA Vuren balk geschaafd 44 x 144 x ca. 3000 mm,"11,45 €*",5185918,https://media.hornbach.nl/hb/packshot/as.95942714.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-144-x-ca-3000-mm/5185918/
KONSTA Vuren balk geschaafd 44 x 144 x ca. 3600 mm,"13,75 €*",5185953,https://media.hornbach.nl/hb/packshot/as.95942714.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-144-x-ca-3600-mm/5185953/
KONSTA Vuren balk geschaafd 44 x 144 x ca. 4200 mm,"16,00 €*",5185919,https://media.hornbach.nl/hb/packshot/as.95942714.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-144-x-ca-4200-mm/5185919/
KONSTA Vuren balk geschaafd 44 x 94 x ca. 2100 mm,"4,95 €*",5185893,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-ca-2100-mm/5185893/
KONSTA Vuren balk geschaafd 44 x 94 x ca. 2400 mm,"5,70 €*",5185894,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-ca-2400-mm/5185894/
KONSTA Vuren balk geschaafd 44 x 94 x ca. 2700 mm,"6,40 €*",5185895,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-ca-2700-mm/5185895/
KONSTA Vuren balk geschaafd 44 x 94 x ca. 3000 mm,"7,10 €*",5185896,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-ca-3000-mm/5185896/
KONSTA Vuren balk geschaafd 44 x 94 x ca. 3600 mm,"8,50 €*",5185914,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-ca-3600-mm/5185914/
KONSTA Vuren balk geschaafd 44 x 94 x 4500 mm,"10,65 €*",8238898,https://media.hornbach.nl/hb/packshot/as.95942775.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-44-x-94-x-4500-mm/8238898/
KONSTA Vuren balk geschaafd 69 x 169 x ca. 3000 mm,"23,30 €*",5185958,https://media.hornbach.nl/hb/packshot/as.95944243.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-69-x-169-x-ca-3000-mm/5185958/
KONSTA Vuren balk geschaafd 69 x 169 x ca. 3600 mm,"28,05 €*",5185959,https://media.hornbach.nl/hb/packshot/as.95944243.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-69-x-169-x-ca-3600-mm/5185959/
KONSTA Vuren balk geschaafd 69 x 169 x ca. 4200 mm,"32,70 €*",5185960,https://media.hornbach.nl/hb/packshot/as.95944243.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-69-x-169-x-ca-4200-mm/5185960/
KONSTA Vuren balk geschaafd 59 x 156 x ca. 2700 mm,"17,05 €*",5185954,https://media.hornbach.nl/hb/packshot/as.95944046.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-59-x-156-x-ca-2700-mm/5185954/
KONSTA Vuren balk geschaafd 59 x 156 x ca. 3000 mm,"18,80 €*",5185955,https://media.hornbach.nl/hb/packshot/as.95944046.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-59-x-156-x-ca-3000-mm/5185955/
KONSTA Vuren balk geschaafd 59 x 156 x ca. 3600 mm,"22,75 €*",5185956,https://media.hornbach.nl/hb/packshot/as.95944046.jpg?dvid=8,https://www.hornbach.nl/p/konsta-vuren-balk-geschaafd-59-x-156-x-ca-3600-mm/5185956/
