name-nl,price,artnum,image,link
BISON Poly max® high tack wit 425 g,"10,95 €*",8215627,https://media.hornbach.nl/hb/packshot/as.101006897.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-high-tack-wit-425-g/8215627/
SOUDAL Fix All High Tack wit kitkoker 290 ml,"7,45 €*",7107036,https://media.hornbach.nl/hb/packshot/as.47183886.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-high-tack-wit-kitkoker-290-ml/7107036/
BISON Professional Poly max® high tack wit 425 g,"10,75 €*",4611274,https://media.hornbach.nl/hb/packshot/as.46604494.jpg?dvid=8,https://www.hornbach.nl/p/bison-professional-poly-max-high-tack-wit-425-g/4611274/
SOUDAL Fix All High Tack zwart kitkoker 290 ml,"7,45 €*",7107038,https://media.hornbach.nl/hb/packshot/as.47184241.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-high-tack-zwart-kitkoker-290-ml/7107038/
BISON Professional Poly max® high tack express wit 435 g,"10,95 €*",4611277,https://media.hornbach.nl/hb/packshot/as.46605317.jpg?dvid=8,https://www.hornbach.nl/p/bison-professional-poly-max-high-tack-express-wit-435-g/4611277/
BISON Poly max® express zwart 425 g,"11,00 €*",5557557,https://media.hornbach.nl/hb/packshot/as.122483570.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-express-zwart-425-g/5557557/
BISON Montagekit original 350 g,"6,95 €*",4138922,https://media.hornbach.nl/hb/packshot/as.122381469.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-original-350-g/4138922/
BISON Poly max® original transparant 300 g,"10,95 €*",5077112,https://media.hornbach.nl/hb/packshot/as.74225644.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-original-transparant-300-g/5077112/
BISON Poly max® original wit 425 g,"9,95 €*",4138902,https://media.hornbach.nl/hb/packshot/as.122396892.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-original-wit-425-g/4138902/
BISON Poly max® crystal transparant 300 g,"11,00 €*",8233100,https://media.hornbach.nl/hb/packshot/as.122503994.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-crystal-transparant-300-g/8233100/
BISON Poly max® express wit 425 g,"11,00 €*",8233099,https://media.hornbach.nl/hb/packshot/as.101006615.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-express-wit-425-g/8233099/
PATTEX No More Nails montagekit high tack 460 g 2 stuks,"17,95 €*",10711907,https://media.hornbach.nl/hb/packshot/as.73309579.jpg?dvid=8,https://www.hornbach.nl/p/pattex-no-more-nails-montagekit-high-tack-460-g-2-stuks/10711907/
Kwaliteitsmontagelijm wit 470 g,"3,10 €*",8642674,https://media.hornbach.nl/hb/packshot/as.47289996.jpg?dvid=8,https://www.hornbach.nl/p/kwaliteitsmontagelijm-wit-470-g/8642674/
BISON Poly max® express grijs 425 g,"11,00 €*",5557558,https://media.hornbach.nl/hb/packshot/as.122483086.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-express-grijs-425-g/5557558/
SOUDAL Montage fix wit 310 ml,"5,20 €*",8692272,https://media.hornbach.nl/hb/packshot/as.47091878.jpg?dvid=8,https://www.hornbach.nl/p/soudal-montage-fix-wit-310-ml/8692272/
SOUDAL Fix All High Tack grijs kitkoker 290 ml,"7,45 €*",7107037,https://media.hornbach.nl/hb/packshot/as.47184151.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-high-tack-grijs-kitkoker-290-ml/7107037/
BISON Montagekit super 200 g,"4,49 €*",4166146,https://media.hornbach.nl/hb/packshot/as.122399854.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-super-200-g/4166146/
SOUDAL Fix All High Tack transparant kitkoker 290 ml,"9,95 €*",6039176,https://media.hornbach.nl/hb/packshot/as.46930492.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-high-tack-transparant-kitkoker-290-ml/6039176/
BISON Professional Poly max® lijmkit express zwart 425 g,"11,50 €*",4611275,https://media.hornbach.nl/hb/packshot/as.46604759.jpg?dvid=8,https://www.hornbach.nl/p/bison-professional-poly-max-lijmkit-express-zwart-425-g/4611275/
SOUDAL Fix All Turbo wit kitkoker 290 ml,"8,20 €*",8411285,https://media.hornbach.nl/hb/packshot/as.47025327.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-turbo-wit-kitkoker-290-ml/8411285/
BISON Professional Poly max® SMP polymer wit 425 g,"9,25 €*",4611347,https://media.hornbach.nl/hb/packshot/as.46609021.jpg?dvid=8,https://www.hornbach.nl/p/bison-professional-poly-max-smp-polymer-wit-425-g/4611347/
MACLEAN Plinten high tack kit,"7,50 €*",10510871,https://media.hornbach.nl/hb/packshot/as.85852085.jpg?dvid=8,https://www.hornbach.nl/p/maclean-plinten-high-tack-kit/10510871/
BISON Montagekit Ultimate 440 g,"8,39 €*",10663905,https://media.hornbach.nl/hb/packshot/as.61703973.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-ultimate-440-g/10663905/
BISON Montagekit Ultimate 165 g,"7,79 €*",10663906,https://media.hornbach.nl/hb/packshot/as.61704879.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-ultimate-165-g/10663906/
BISON Montagekit direct grip 250 g,"5,29 €*",7660629,https://media.hornbach.nl/hb/packshot/as.122490383.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-direct-grip-250-g/7660629/
BISON Professional Poly max® lijmkit express transparant 300 g,"11,50 €*",4611276,https://media.hornbach.nl/hb/packshot/as.122407886.jpg?dvid=8,https://www.hornbach.nl/p/bison-professional-poly-max-lijmkit-express-transparant-300-g/4611276/
PATTEX No More Nails montagekit high tack 460 g,"11,95 €*",10692305,https://media.hornbach.nl/hb/packshot/as.69649299.jpg?dvid=8,https://www.hornbach.nl/p/pattex-no-more-nails-montagekit-high-tack-460-g/10692305/
SOUDAL Fix ALL X-treme X-press wit kitkoker 290 ml,"12,75 €*",5856295,https://media.hornbach.nl/hb/packshot/as.46722187.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-x-treme-x-press-wit-kitkoker-290-ml/5856295/
ROXOLID X-power montagelijm 450 g,"10,79 €*",10247447,https://media.hornbach.nl/hb/packshot/as.47298451.jpg?dvid=8,https://www.hornbach.nl/p/roxolid-x-power-montagelijm-450-g/10247447/
LOCTITE Schroefdraadborging 5 ml,"12,79 €*",10333494,https://media.hornbach.nl/hb/packshot/as.27158027.jpg?dvid=8,https://www.hornbach.nl/p/loctite-schroefdraadborging-5-ml/10333494/
SOUDAL Multikit wit 300 ml,"7,25 €*",8692276,https://media.hornbach.nl/hb/packshot/as.47093323.jpg?dvid=8,https://www.hornbach.nl/p/soudal-multikit-wit-300-ml/8692276/
ROXOLID X-turbo montagelijm 450 g,"8,69 €*",10260942,https://media.hornbach.nl/hb/packshot/as.47516963.jpg?dvid=8,https://www.hornbach.nl/p/roxolid-x-turbo-montagelijm-450-g/10260942/
BISON Poly max® express bruin 425 g,"11,00 €*",5557559,https://media.hornbach.nl/hb/packshot/as.122483314.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-express-bruin-425-g/5557559/
PATTEX No More Nails montagekit universal 480 g,"9,95 €*",10692303,https://media.hornbach.nl/hb/packshot/as.67299010.jpg?dvid=8,https://www.hornbach.nl/p/pattex-no-more-nails-montagekit-universal-480-g/10692303/
SOUDAL Fix All Flexi wit kitkoker 290 ml,"7,45 €*",4196880,https://media.hornbach.nl/hb/packshot/as.46164519.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-flexi-wit-kitkoker-290-ml/4196880/
SOUDAL Fix All High Tack bruin kitkoker 290 ml,"7,45 €*",7923747,https://media.hornbach.nl/hb/packshot/as.46871884.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-high-tack-bruin-kitkoker-290-ml/7923747/
BISON Montagekit transparant 350 g,"8,19 €*",5077110,https://media.hornbach.nl/hb/packshot/as.100713971.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-transparant-350-g/5077110/
BISON Poly Max® crystal transparant 115 g,"6,29 €*",8465841,https://media.hornbach.nl/hb/packshot/as.100998093.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-crystal-transparant-115-g/8465841/
ROXOLID deko fi-X montagelijm 380 g,"6,49 €*",10247436,https://media.hornbach.nl/hb/packshot/as.47287993.jpg?dvid=8,https://www.hornbach.nl/p/roxolid-deko-fi-x-montagelijm-380-g/10247436/
PATTEX No More Nails montagekit flex zwart 390 g,"11,95 €*",10692307,https://media.hornbach.nl/hb/packshot/as.67312923.jpg?dvid=8,https://www.hornbach.nl/p/pattex-no-more-nails-montagekit-flex-zwart-390-g/10692307/
PATTEX No More Nails montagekit express 390 g,"12,95 €*",10692310,https://media.hornbach.nl/hb/packshot/as.112501187.jpg?dvid=8,https://www.hornbach.nl/p/pattex-no-more-nails-montagekit-express-390-g/10692310/
BISON Montagekit direct grip 370 g 2 st,"14,49 €*",5718698,https://media.hornbach.nl/hb/packshot/as.122518768.jpg?dvid=8,https://www.hornbach.nl/p/bison-montagekit-direct-grip-370-g-2-st/5718698/
SOUDAL Fix All Crystal D N/F transparant kitkoker 290 ml,"10,50 €*",5050494,https://media.hornbach.nl/hb/packshot/as.46278180.jpg?dvid=8,https://www.hornbach.nl/p/soudal-fix-all-crystal-d-n-f-transparant-kitkoker-290-ml/5050494/
BISON Poly Max high tack express 100% transparant 115 g,"8,95 €*",10344686,https://media.hornbach.nl/hb/packshot/as.122514203.jpg?dvid=8,https://www.hornbach.nl/p/bison-poly-max-high-tack-express-100-transparant-115-g/10344686/
PATTEX Geen spijkers & schroeven montagelijm 400 g,"11,95 €*",8225847,https://media.hornbach.nl/hb/packshot/as.48530172.jpg?dvid=8,https://www.hornbach.nl/p/pattex-geen-spijkers-schroeven-montagelijm-400-g/8225847/
