name-nl,price,artnum,image,link
FLEXA Powerdek muren & plafonds wit 10 l + 25%,"39,75 €*",8593652,https://media.hornbach.nl/hb/packshot/as.57153312.jpg?dvid=8,https://www.hornbach.nl/p/flexa-powerdek-muren-plafonds-wit-10-l-25/8593652/
HORNBACH Meister Polar muurverf spatvrij wit 1 l,"11,75 €*",10360377,https://media.hornbach.nl/hb/packshot/as.93333020.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-meister-polar-muurverf-spatvrij-wit-1-l/10360377/
"HORNBACH Meister Polar muurverf spatvrij wit 2,5 l","19,95 €*",10360379,https://media.hornbach.nl/hb/packshot/as.91855476.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-meister-polar-muurverf-spatvrij-wit-2-5-l/10360379/
HORNBACH Meister Polar muurverf spatvrij wit 5 l,"28,95 €*",10360378,https://media.hornbach.nl/hb/packshot/as.90815240.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-meister-polar-muurverf-spatvrij-wit-5-l/10360378/
HORNBACH Meister Polar muurverf spatvrij wit 12 l,"37,95 €*",10360382,https://media.hornbach.nl/hb/packshot/as.89528423.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-meister-polar-muurverf-spatvrij-wit-12-l/10360382/
FLEXA Powerdek muren & plafonds wit RAL 9010 10 l + 25%,"39,75 €*",8593656,https://media.hornbach.nl/hb/packshot/as.57153322.jpg?dvid=8,https://www.hornbach.nl/p/flexa-powerdek-muren-plafonds-wit-ral-9010-10-l-25/8593656/
HORNBACH Muurverf Meister Polar RAL 9010 wit 10 l + 25%,"37,95 €*",8585166,https://media.hornbach.nl/hb/packshot/as.89513486.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-muurverf-meister-polar-ral-9010-wit-10-l-25/8585166/
HISTOR Monodek Muurverf wit 10 l + 25%,"38,45 €*",5819877,https://media.hornbach.nl/hb/packshot/as.50795485.jpg?dvid=8,https://www.hornbach.nl/p/histor-monodek-muurverf-wit-10-l-25/5819877/
"HORNBACH Speciaal latex glans wit 2,5 l","22,95 €*",3166594,https://media.hornbach.nl/hb/packshot/as.88502296.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-speciaal-latex-glans-wit-2-5-l/3166594/
HORNBACH Speciaal latex glans wit 5 l,"36,95 €*",3111986,https://media.hornbach.nl/hb/packshot/as.87280322.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-speciaal-latex-glans-wit-5-l/3111986/
HORNBACH Speciaal latex glans wit 10 l,"54,95 €*",3111931,https://media.hornbach.nl/hb/packshot/as.85094662.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-speciaal-latex-glans-wit-10-l/3111931/
"HISTOR Monodek Muurverf verkeerswit RAL 9016 12,5 l","38,45 €*",10725518,https://media.hornbach.nl/hb/packshot/as.74774050.jpg?dvid=8,https://www.hornbach.nl/p/histor-monodek-muurverf-verkeerswit-ral-9016-12-5-l/10725518/
HORNBACH Muurverf Meister Polar plus conserveringsmiddelvrij wit 1 l,"13,75 €*",6409073,https://media.hornbach.nl/hb/packshot/as.46522370.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-muurverf-meister-polar-plus-conserveringsmiddelvrij-wit-1-l/6409073/
"HORNBACH Muurverf Meister Polar plus conserveringsmiddelvrij wit 2,5 l","24,95 €*",6409074,https://media.hornbach.nl/hb/packshot/as.46522767.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-muurverf-meister-polar-plus-conserveringsmiddelvrij-wit-2-5-l/6409074/
HORNBACH Muurverf Meister Polar plus conserveringsmiddelvrij wit 5 l,"38,95 €*",6409075,https://media.hornbach.nl/hb/packshot/as.46523082.jpg?dvid=8,https://www.hornbach.nl/p/hornbach-muurverf-meister-polar-plus-conserveringsmiddelvrij-wit-5-l/6409075/
