name-nl,price,artnum,image,link
"Asfaltnagels 3 x 20 mm, 1 kg","8,95 €*",5578651,https://media.hornbach.nl/hb/packshot/as.46149192.jpg?dvid=8,https://www.hornbach.nl/p/asfaltnagels-3-x-20-mm-1-kg/5578651/
"DRESSELHAUS Asfaltnagel 2,8x16 mm therm. verzinkt, 1 kg","7,50 €*",7001663,https://media.hornbach.nl/hb/packshot/as.46543772.jpg?dvid=8,https://www.hornbach.nl/p/dresselhaus-asfaltnagel-2-8x16-mm-therm-verzinkt-1-kg/7001663/
TESA Powerstrips klevende spijker verstelbaar voor behang & pleisterwerk 2 kg 2 stuks,"6,59 €*",6201415,https://media.hornbach.nl/hb/packshot/as.87045783.jpg?dvid=8,https://www.hornbach.nl/p/tesa-powerstrips-klevende-spijker-verstelbaar-voor-behang-pleisterwerk-2-kg-2-stuks/6201415/
"DRESSELHAUS Draadnagel verzonken kop 3,1x65 mm DIN 1151 blank, 2,5 kg","7,95 €*",3838235,https://media.hornbach.nl/hb/packshot/as.46561645.jpg?dvid=8,https://www.hornbach.nl/p/dresselhaus-draadnagel-verzonken-kop-3-1x65-mm-din-1151-blank-2-5-kg/3838235/
"FISCHER Spanhuls FNH 8/90, 50 stuks","31,00 €*",10185487,https://media.hornbach.nl/hb/packshot/as.47008995.jpg?dvid=8,https://www.hornbach.nl/p/fischer-spanhuls-fnh-8-90-50-stuks/10185487/
"DRESSELHAUS Kram 2,5x25 mm galv. verzinkt, 1 kg","9,00 €*",3830311,https://media.hornbach.nl/hb/packshot/as.46544155.jpg?dvid=8,https://www.hornbach.nl/p/dresselhaus-kram-2-5x25-mm-galv-verzinkt-1-kg/3830311/
Spijker assortiment 803-delig,"7,25 €*",5148727,https://media.hornbach.nl/hb/packshot/as.131884259.jpg?dvid=8,https://www.hornbach.nl/p/spijker-assortiment-803-delig/5148727/
"TESA Powerstrips klevende spijker voor behang & pleisterwerk 0,5 kg 2 stuks","3,49 €*",6201410,https://media.hornbach.nl/hb/packshot/as.87045737.jpg?dvid=8,https://www.hornbach.nl/p/tesa-powerstrips-klevende-spijker-voor-behang-pleisterwerk-0-5-kg-2-stuks/6201410/
TESA Powerstrips klevende spijker voor behang & pleisterwerk 2 kg 2 stuks,"5,59 €*",6201414,https://media.hornbach.nl/hb/packshot/as.87045779.jpg?dvid=8,https://www.hornbach.nl/p/tesa-powerstrips-klevende-spijker-voor-behang-pleisterwerk-2-kg-2-stuks/6201414/
TESA Powerstrips klevende spijker voor behang & pleisterwerk 1 kg 2 stuks,"4,39 €*",6201411,https://media.hornbach.nl/hb/packshot/as.87045750.jpg?dvid=8,https://www.hornbach.nl/p/tesa-powerstrips-klevende-spijker-voor-behang-pleisterwerk-1-kg-2-stuks/6201411/
"FISCHER Spanhuls FNH 6/60, 100 stuks","31,35 €*",10185485,https://media.hornbach.nl/hb/packshot/as.47008842.jpg?dvid=8,https://www.hornbach.nl/p/fischer-spanhuls-fnh-6-60-100-stuks/10185485/
"DELTAFIX Draadnagel 1,8x30 mm verzonken kop RVS A2, 500 stuks","13,95 €*",10689699,https://media.hornbach.nl/hb/packshot/as.67803177.jpg?dvid=8,https://www.hornbach.nl/p/deltafix-draadnagel-1-8x30-mm-verzonken-kop-rvs-a2-500-stuks/10689699/
"DRESSELHAUS Draadnagel verzonken kop 1,6x30 mm DIN 1151 therm. verzinkt, 0,4 kg","5,40 €*",3839415,https://media.hornbach.nl/hb/packshot/as.46092686.jpg?dvid=8,https://www.hornbach.nl/p/dresselhaus-draadnagel-verzonken-kop-1-6x30-mm-din-1151-therm-verzinkt-0-4-kg/3839415/
"DRESSELHAUS Plintnagel 1,4x25 mm galv.verzinkt, 250 stuks","4,55 €*",3830325,https://media.hornbach.nl/hb/packshot/as.46545197.jpg?dvid=8,https://www.hornbach.nl/p/dresselhaus-plintnagel-1-4x25-mm-galv-verzinkt-250-stuks/3830325/
TESA Powerstrips klevende spijker verstelbaar voor behang & pleisterwerk 1 kg 2 stuks,"5,59 €*",6201412,https://media.hornbach.nl/hb/packshot/as.87045755.jpg?dvid=8,https://www.hornbach.nl/p/tesa-powerstrips-klevende-spijker-verstelbaar-voor-behang-pleisterwerk-1-kg-2-stuks/6201412/
