name-nl,price,artnum,image,link
"IKO PIR Isolatieplaat enertherm tong & groef Rd 4,50 1200x600x100 mm","20,90 €*",10368512,https://media.hornbach.nl/hb/packshot/as.34686177.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-4-50-1200x600x100-mm/10368512/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 3,60 1200x600x80 mm","17,53 €*",10368510,https://media.hornbach.nl/hb/packshot/as.34681103.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-3-60-1200x600x80-mm/10368510/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 3,15 1200x600x70 mm","16,42 €*",10368509,https://media.hornbach.nl/hb/packshot/as.34692127.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-3-15-1200x600x70-mm/10368509/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 1,80 1200x600x40 mm","11,64 €*",10368506,https://media.hornbach.nl/hb/packshot/as.34565835.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-1-80-1200x600x40-mm/10368506/
"IKO PIR Isolatieplaat enertherm rechte kant Rd 3,60 1200x600x80 mm","16,47 €*",10732481,https://media.hornbach.nl/hb/packshot/as.75723979.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-rechte-kant-rd-3-60-1200x600x80-mm/10732481/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 5,45 1200x600x120 mm","23,94 €*",10368513,https://media.hornbach.nl/hb/packshot/as.34687119.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-5-45-1200x600x120-mm/10368513/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 6,35 1200x600x140 mm","26,94 €*",10368514,https://media.hornbach.nl/hb/packshot/as.34691818.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-6-35-1200x600x140-mm/10368514/
"IKO PIR Isolatieplaat enertherm rechte kant Rd 5,45 1200x600x120 mm","22,93 €*",10732484,https://media.hornbach.nl/hb/packshot/as.75733622.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-rechte-kant-rd-5-45-1200x600x120-mm/10732484/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 2,25 1200x600x50 mm","13,19 €*",10368507,https://media.hornbach.nl/hb/packshot/as.34692060.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-2-25-1200x600x50-mm/10368507/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 4,05 1200x600x90 mm","19,58 €*",10368511,https://media.hornbach.nl/hb/packshot/as.34685148.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-4-05-1200x600x90-mm/10368511/
"IKO PIR Isolatieplaat enertherm tong & groef Rd 2,70 1200x600x60 mm","15,27 €*",10368508,https://media.hornbach.nl/hb/packshot/as.34692125.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-tong-groef-rd-2-70-1200x600x60-mm/10368508/
Mastiekschroot PIR 1200 x 100 x 30 mm,"4,75 €*",5578643,https://media.hornbach.nl/hb/packshot/as.46377887.jpg?dvid=8,https://www.hornbach.nl/p/mastiekschroot-pir-1200-x-100-x-30-mm/5578643/
"Dakisolatieplaat Therma TR 24 1200 x 600 x 70 mm Rd 2,55 pak à 6 pir platen","134,95 €*",5588352,https://media.hornbach.nl/hb/packshot/as.46680927.jpg?dvid=8,https://www.hornbach.nl/p/dakisolatieplaat-therma-tr-24-1200-x-600-x-70-mm-rd-2-55-pak-a-6-pir-platen/5588352/
"IKO PIR Isolatieplaat enertherm gebitumineerd rechte kant Rd 2,20 1200x600x60 mm","17,82 €*",10368502,https://media.hornbach.nl/hb/packshot/as.34770651.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-gebitumineerd-rechte-kant-rd-2-20-1200x600x60-mm/10368502/
"IKO PIR Isolatieplaat enertherm gebitumineerd rechte kant Rd 2,55 1200x600x70 mm","19,78 €*",10368503,https://media.hornbach.nl/hb/packshot/as.34770642.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-gebitumineerd-rechte-kant-rd-2-55-1200x600x70-mm/10368503/
"IKO PIR Isolatieplaat enertherm gebitumineerd rechte kant Rd 3,70 1200x600x100 mm","25,74 €*",10368505,https://media.hornbach.nl/hb/packshot/as.34770638.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-gebitumineerd-rechte-kant-rd-3-70-1200x600x100-mm/10368505/
"IKO PIR Isolatieplaat enertherm gebitumineerd rechte kant Rd 3,00 1200x600x81 mm","22,06 €*",10368504,https://media.hornbach.nl/hb/packshot/as.34770589.jpg?dvid=8,https://www.hornbach.nl/p/iko-pir-isolatieplaat-enertherm-gebitumineerd-rechte-kant-rd-3-00-1200x600x81-mm/10368504/
