name-nl,price,artnum,image,link
MACLEAN Renovatieplint Classic robuust 120 mm,"11,95 €*",8274807,https://media.hornbach.nl/hb/packshot/as.70255117.jpg?dvid=8,https://www.hornbach.nl/p/maclean-renovatieplint-classic-robuust-120-mm/8274807/
KONSTA Plint recht MDF gegrond 55 mm,"6,50 €*",8705649,https://media.hornbach.nl/hb/packshot/as.47349513.jpg?dvid=8,https://www.hornbach.nl/p/konsta-plint-recht-mdf-gegrond-55-mm/8705649/
Plint grenen gelakt wit RAL 9010 94 mm,"10,00 €*",4625936,https://media.hornbach.nl/hb/packshot/as.46238171.jpg?dvid=8,https://www.hornbach.nl/p/plint-grenen-gelakt-wit-ral-9010-94-mm/4625936/
MACLEAN Clipplint Classic robuust 65 mm,"8,25 €*",8275002,https://media.hornbach.nl/hb/packshot/as.46874637.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-robuust-65-mm/8275002/
MACLEAN Clipplint Classic robuust 75 mm,"8,00 €*",10077734,https://media.hornbach.nl/hb/packshot/as.47494543.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-robuust-75-mm/10077734/
Plint MDF gelakt wit 94 mm,"15,00 €*",4625938,https://media.hornbach.nl/hb/packshot/as.46239275.jpg?dvid=8,https://www.hornbach.nl/p/plint-mdf-gelakt-wit-94-mm/4625938/
MACLEAN Renovatieplint 80 mm,"9,95 €*",10500932,https://media.hornbach.nl/hb/packshot/as.43315660.jpg?dvid=8,https://www.hornbach.nl/p/maclean-renovatieplint-80-mm/10500932/
Cubicbloc plint wit afgelakt 70 mm,"10,00 €*",10494104,https://media.hornbach.nl/hb/packshot/as.42439081.jpg?dvid=8,https://www.hornbach.nl/p/cubicbloc-plint-wit-afgelakt-70-mm/10494104/
MACLEAN Clipplint Classic robuust 120 mm,"11,00 €*",10077735,https://media.hornbach.nl/hb/packshot/as.47494574.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-robuust-120-mm/10077735/
MACLEAN Clipplint Classic de luxe 75 mm,"8,25 €*",8274808,https://media.hornbach.nl/hb/packshot/as.46866709.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-de-luxe-75-mm/8274808/
MDF plint wit gegrond blok 94 mm,"9,45 €*",10494088,https://media.hornbach.nl/hb/packshot/as.42438642.jpg?dvid=8,https://www.hornbach.nl/p/mdf-plint-wit-gegrond-blok-94-mm/10494088/
KONSTA Plint recht MDF gegrond 45 mm,"4,95 €*",8705650,https://media.hornbach.nl/hb/packshot/as.47349674.jpg?dvid=8,https://www.hornbach.nl/p/konsta-plint-recht-mdf-gegrond-45-mm/8705650/
Plint MDF gelakt wit 119 mm,"15,75 €*",4625939,https://media.hornbach.nl/hb/packshot/as.46239450.jpg?dvid=8,https://www.hornbach.nl/p/plint-mdf-gelakt-wit-119-mm/4625939/
Cubicbloc plint wit afgelakt 79 mm,"11,00 €*",10494090,https://media.hornbach.nl/hb/packshot/as.42439124.jpg?dvid=8,https://www.hornbach.nl/p/cubicbloc-plint-wit-afgelakt-79-mm/10494090/
MACLEAN Renovatieplint Classic de luxe 120 mm,"11,95 €*",8274806,https://media.hornbach.nl/hb/packshot/as.46866509.jpg?dvid=8,https://www.hornbach.nl/p/maclean-renovatieplint-classic-de-luxe-120-mm/8274806/
MACLEAN Clipplint Classic softline 75 mm,"8,25 €*",8274913,https://media.hornbach.nl/hb/packshot/as.46870694.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-softline-75-mm/8274913/
MACLEAN Clipplint Classic softline 120 mm,"10,65 €*",8274914,https://media.hornbach.nl/hb/packshot/as.46870845.jpg?dvid=8,https://www.hornbach.nl/p/maclean-clipplint-classic-softline-120-mm/8274914/
Plint grenen gelakt wit 119 mm,"10,00 €*",4625937,https://media.hornbach.nl/hb/packshot/as.46238630.jpg?dvid=8,https://www.hornbach.nl/p/plint-grenen-gelakt-wit-119-mm/4625937/
