name-nl,price,artnum,image,link
"ROCKWOOL Steenwol RockSono Base bouwplaat Rd 1,35 1200x600x50 mm","5,75 €*",6324162,https://media.hornbach.nl/hb/packshot/as.82662503.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rocksono-base-bouwplaat-rd-1-35-1200x600x50-mm/6324162/
"ROCKWOOL Steenwol RockSono Solid bouwplaat Rd 2,85 1000x600x100 mm","13,80 €*",6373105,https://media.hornbach.nl/hb/packshot/as.82662471.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rocksono-solid-bouwplaat-rd-2-85-1000x600x100-mm/6373105/
"ROCKWOOL Steenwol RockSono Base bouwplaat Rd 3,75 1200x600x140 mm","18,15 €*",10598713,https://media.hornbach.nl/hb/packshot/as.82662503.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rocksono-base-bouwplaat-rd-3-75-1200x600x140-mm/10598713/
"ROCKWOOL Steenwol RockSono Base bouwplaat Rd 2,00 1200x600x75 mm","10,40 €*",10598714,https://media.hornbach.nl/hb/packshot/as.82662503.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rocksono-base-bouwplaat-rd-2-00-1200x600x75-mm/10598714/
"ROCKWOOL Steenwol RockRoof Sidefix spijkerflensdeken Rd 3,00 4500x600x120 mm","12,95 €*",6324170,https://media.hornbach.nl/hb/packshot/as.82662507.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockroof-sidefix-spijkerflensdeken-rd-3-00-4500x600x120-mm/6324170/
"ROCKWOOL Steenwol RockRoof Sidefix spijkerflensdeken Rd 2,00 6000x600x80 mm","9,95 €*",10230463,https://media.hornbach.nl/hb/packshot/as.82662477.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockroof-sidefix-spijkerflensdeken-rd-2-00-6000x600x80-mm/10230463/
"ROCKWOOL Steenwol RockFit DUO 433 Rd 2,10 1000x800x75 mm","11,50 €*",10283905,https://media.hornbach.nl/hb/packshot/as.82662484.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockfit-duo-433-rd-2-10-1000x800x75-mm/10283905/
"ROCKWOOL Steenwol RockRoof Sidefix spijkerflensdeken Rd 2,50 5000x600x100 mm","10,40 €*",6324167,https://media.hornbach.nl/hb/packshot/as.82662507.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockroof-sidefix-spijkerflensdeken-rd-2-50-5000x600x100-mm/6324167/
"ROCKWOOL Steenwol RockFit DUO 433 Rd 3,40 1000x800x120 mm","17,25 €*",10283906,https://media.hornbach.nl/hb/packshot/as.82662484.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockfit-duo-433-rd-3-40-1000x800x120-mm/10283906/
"ROCKWOOL Steenwol RockRoof Sidefix spijkerflensdeken Rd 3,50 3500x600x140 mm","18,25 €*",10598712,https://media.hornbach.nl/hb/packshot/as.82662507.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockroof-sidefix-spijkerflensdeken-rd-3-50-3500x600x140-mm/10598712/
"ROCKWOOL Steenwol RockFit DUO 433 Rd 2,85 1000x800x100 mm","14,95 €*",10283904,https://media.hornbach.nl/hb/packshot/as.82662484.jpg?dvid=8,https://www.hornbach.nl/p/rockwool-steenwol-rockfit-duo-433-rd-2-85-1000x800x100-mm/10283904/
