name-nl,price,artnum,image,link
KNAUF Machinepleister MP75 25 kg,"11,45 €*",7171632,https://media.hornbach.nl/hb/packshot/as.46674083.jpg?dvid=8,https://www.hornbach.nl/p/knauf-machinepleister-mp75-25-kg/7171632/
KNAUF Stucpasta 5 kg,"13,55 €*",7289554,https://media.hornbach.nl/hb/packshot/as.81166671.jpg?dvid=8,https://www.hornbach.nl/p/knauf-stucpasta-5-kg/7289554/
KNAUF Stucpasta 20 kg,"44,75 €*",7413411,https://media.hornbach.nl/hb/packshot/as.81166702.jpg?dvid=8,https://www.hornbach.nl/p/knauf-stucpasta-20-kg/7413411/
KNAUF Cementgebonden pleister UP 210 W 25 kg,"9,95 €*",4101155,https://media.hornbach.nl/hb/packshot/as.92823846.jpg?dvid=8,https://www.hornbach.nl/p/knauf-cementgebonden-pleister-up-210-w-25-kg/4101155/
KNAUF Handpleister Goudband 25 kg,"13,40 €*",4101156,https://media.hornbach.nl/hb/packshot/as.46291207.jpg?dvid=8,https://www.hornbach.nl/p/knauf-handpleister-goudband-25-kg/4101156/
"KNAUF Hechtpleister Roodband 2,5 kg","5,65 €*",4100985,https://media.hornbach.nl/hb/packshot/as.46289643.jpg?dvid=8,https://www.hornbach.nl/p/knauf-hechtpleister-roodband-2-5-kg/4100985/
KNAUF Hechtpleister Roodband 10 kg,"9,95 €*",251547,https://media.hornbach.nl/hb/packshot/as.46216312.jpg?dvid=8,https://www.hornbach.nl/p/knauf-hechtpleister-roodband-10-kg/251547/
KNAUF Hechtpleister Roodband 25 kg,"17,95 €*",4101157,https://media.hornbach.nl/hb/packshot/as.46291716.jpg?dvid=8,https://www.hornbach.nl/p/knauf-hechtpleister-roodband-25-kg/4101157/
KNAUF Dunpleister Fix en Finish 10 kg,"17,50 €*",4100997,https://media.hornbach.nl/hb/packshot/as.46290464.jpg?dvid=8,https://www.hornbach.nl/p/knauf-dunpleister-fix-en-finish-10-kg/4100997/
KNAUF Dunpleister Fix en Finish 25 kg,"20,95 €*",4101160,https://media.hornbach.nl/hb/packshot/as.46293166.jpg?dvid=8,https://www.hornbach.nl/p/knauf-dunpleister-fix-en-finish-25-kg/4101160/
KNAUF Gipspleister AquaStuc 25 kg,"17,95 €*",6636236,https://media.hornbach.nl/hb/packshot/as.46914077.jpg?dvid=8,https://www.hornbach.nl/p/knauf-gipspleister-aquastuc-25-kg/6636236/
KNAUF Renoband Reparatiemiddel 1 liter,"12,50 €*",4161594,https://media.hornbach.nl/hb/packshot/as.46630651.jpg?dvid=8,https://www.hornbach.nl/p/knauf-renoband-reparatiemiddel-1-liter/4161594/
KNAUF Renoband Reparatiemiddel 4 liter,"29,95 €*",4161595,https://media.hornbach.nl/hb/packshot/as.46630651.jpg?dvid=8,https://www.hornbach.nl/p/knauf-renoband-reparatiemiddel-4-liter/4161595/
KNAUF Handpleister Goudband Quick 25 kg,"13,50 €*",6470027,https://media.hornbach.nl/hb/packshot/as.46476477.jpg?dvid=8,https://www.hornbach.nl/p/knauf-handpleister-goudband-quick-25-kg/6470027/
KNAUF Hechtschuurpleister Geelband 25 kg,"14,70 €*",4101158,https://media.hornbach.nl/hb/packshot/as.46292109.jpg?dvid=8,https://www.hornbach.nl/p/knauf-hechtschuurpleister-geelband-25-kg/4101158/
EUROCOL 955 Wandostuc 20 kg,"34,95 €*",4614171,https://media.hornbach.nl/hb/packshot/as.46080929.jpg?dvid=8,https://www.hornbach.nl/p/eurocol-955-wandostuc-20-kg/4614171/
KNAUF Dunpleister TopFinish 5 kg,"11,15 €*",10113386,https://media.hornbach.nl/hb/packshot/as.47503991.jpg?dvid=8,https://www.hornbach.nl/p/knauf-dunpleister-topfinish-5-kg/10113386/
MODULAN Superfinish 452 fijnplamuur 18 kg,"30,95 €*",10356509,https://media.hornbach.nl/hb/packshot/as.48521855.jpg?dvid=8,https://www.hornbach.nl/p/modulan-superfinish-452-fijnplamuur-18-kg/10356509/
KNAUF Snelpleister Snelband 25 kg,"16,45 €*",4101161,https://media.hornbach.nl/hb/packshot/as.46293947.jpg?dvid=8,https://www.hornbach.nl/p/knauf-snelpleister-snelband-25-kg/4101161/
KNAUF Machinepleister MP75 Diamant 25 kg,"13,95 €*",5531164,https://media.hornbach.nl/hb/packshot/as.49773208.jpg?dvid=8,https://www.hornbach.nl/p/knauf-machinepleister-mp75-diamant-25-kg/5531164/
"MODULAN 5004 Spachtelputz korrelgrootte 1,0 mm 15 kg","33,49 €*",10498644,https://media.hornbach.nl/hb/packshot/as.47221145.jpg?dvid=8,https://www.hornbach.nl/p/modulan-5004-spachtelputz-korrelgrootte-1-0-mm-15-kg/10498644/
KNAUF Kleefgips Perlfix 25 kg,"11,95 €*",4100959,https://media.hornbach.nl/hb/packshot/as.85230223.jpg?dvid=8,https://www.hornbach.nl/p/knauf-kleefgips-perlfix-25-kg/4100959/
KNAUF Dunpleister FinishPasta 5 kg,"15,45 €*",10678499,https://media.hornbach.nl/hb/packshot/as.95387251.jpg?dvid=8,https://www.hornbach.nl/p/knauf-dunpleister-finishpasta-5-kg/10678499/
