name-nl,price,artnum,image,link
"Grip hoekprofiel alu-zink 1030 voor pleisterlaagdikte 1-3 mm, 2600 mm","2,35 €*",10626475,https://media.hornbach.nl/hb/packshot/as.120022053.jpg?dvid=8,https://www.hornbach.nl/p/grip-hoekprofiel-alu-zink-1030-voor-pleisterlaagdikte-1-3-mm-2600-mm/10626475/
"Grip hoekprofiel alu-zink 1030 voor pleisterlaagdikte 1-3 mm, 2700 mm","2,55 €*",10702177,https://media.hornbach.nl/hb/packshot/as.70922837.jpg?dvid=8,https://www.hornbach.nl/p/grip-hoekprofiel-alu-zink-1030-voor-pleisterlaagdikte-1-3-mm-2700-mm/10702177/
"Grip hoekprofiel alu-zink 1030 voor pleisterlaagdikte 1-3 mm, 3000 mm","2,75 €*",10626472,https://media.hornbach.nl/hb/packshot/as.120022076.jpg?dvid=8,https://www.hornbach.nl/p/grip-hoekprofiel-alu-zink-1030-voor-pleisterlaagdikte-1-3-mm-3000-mm/10626472/
"Stucstopprofiel alu-zink 1236H voor pleisterlaagdikte 3 mm, 2600 mm","3,30 €*",8056528,https://media.hornbach.nl/hb/packshot/as.120022073.jpg?dvid=8,https://www.hornbach.nl/p/stucstopprofiel-alu-zink-1236h-voor-pleisterlaagdikte-3-mm-2600-mm/8056528/
"Hoekprofiel verzinkt staal 1034D voor pleisterlaagdikte 3 mm, 2600 mm","3,00 €*",10626473,https://media.hornbach.nl/hb/packshot/as.120022044.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-verzinkt-staal-1034d-voor-pleisterlaagdikte-3-mm-2600-mm/10626473/
"Hoekprofiel verzinkt staal 1034 voor pleisterlaagdikte 3 mm, 2700 mm","3,15 €*",10702060,https://media.hornbach.nl/hb/packshot/as.70915112.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-verzinkt-staal-1034-voor-pleisterlaagdikte-3-mm-2700-mm/10702060/
"Hoekprofiel verzinkt staal 1034D voor pleisterlaagdikte 3 mm, 3000 mm","3,60 €*",10626474,https://media.hornbach.nl/hb/packshot/as.120022048.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-verzinkt-staal-1034d-voor-pleisterlaagdikte-3-mm-3000-mm/10626474/
"PROTEKTOR Stucstopprofiel verzinkt staal 1131S voor gipsplaat dikte 12,5 mm, 2500 mm","7,95 €*",10702176,https://media.hornbach.nl/hb/packshot/as.70911986.jpg?dvid=8,https://www.hornbach.nl/p/protektor-stucstopprofiel-verzinkt-staal-1131s-voor-gipsplaat-dikte-12-5-mm-2500-mm/10702176/
"Hoekprofiel alu-zink 1040V voor pleisterlaagdikte 7 mm, 2600 mm","2,95 €*",7943574,https://media.hornbach.nl/hb/packshot/as.120022065.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-alu-zink-1040v-voor-pleisterlaagdikte-7-mm-2600-mm/7943574/
"Hoekprofiel alu-zink 1040V voor pleisterlaagdikte 7 mm, 3000 mm","3,75 €*",10702173,https://media.hornbach.nl/hb/packshot/as.70914313.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-alu-zink-1040v-voor-pleisterlaagdikte-7-mm-3000-mm/10702173/
"Hoekprofiel verzinkt staal 1029 voor pleisterlaagdikte 1-3 mm, 2600 mm","3,95 €*",4133414,https://media.hornbach.nl/hb/packshot/as.82401775.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-verzinkt-staal-1029-voor-pleisterlaagdikte-1-3-mm-2600-mm/4133414/
"Stucstopprofiel alu-zink 1216H voor pleisterlaagdikte 6 mm, 2600 mm","3,30 €*",8056527,https://media.hornbach.nl/hb/packshot/as.120022069.jpg?dvid=8,https://www.hornbach.nl/p/stucstopprofiel-alu-zink-1216h-voor-pleisterlaagdikte-6-mm-2600-mm/8056527/
"PROTEKTOR Afreiprofiel verzinkt staal 1106 voor pleisterlaagdikte 6 mm, 2600 mm","2,15 €*",4133416,https://media.hornbach.nl/hb/packshot/as.120022056.jpg?dvid=8,https://www.hornbach.nl/p/protektor-afreiprofiel-verzinkt-staal-1106-voor-pleisterlaagdikte-6-mm-2600-mm/4133416/
"PROTEKTOR Afreiprofiel verzinkt staal 1106 voor pleisterlaagdikte 6 mm, 2700 mm","2,25 €*",10702058,https://media.hornbach.nl/hb/packshot/as.70923132.jpg?dvid=8,https://www.hornbach.nl/p/protektor-afreiprofiel-verzinkt-staal-1106-voor-pleisterlaagdikte-6-mm-2700-mm/10702058/
"PROTEKTOR Afreiprofiel verzinkt staal 1106 voor pleisterlaagdikte 6 mm, 3000 mm","2,50 €*",5181778,https://media.hornbach.nl/hb/packshot/as.120022060.jpg?dvid=8,https://www.hornbach.nl/p/protektor-afreiprofiel-verzinkt-staal-1106-voor-pleisterlaagdikte-6-mm-3000-mm/5181778/
"PROTEKTOR Stucstopprofiel verzinkt staal 1135S voor gipsplaat dikte 9,5 mm, 2500 mm","7,75 €*",10702172,https://media.hornbach.nl/hb/packshot/as.70910339.jpg?dvid=8,https://www.hornbach.nl/p/protektor-stucstopprofiel-verzinkt-staal-1135s-voor-gipsplaat-dikte-9-5-mm-2500-mm/10702172/
"PROTEKTOR Hoekprofiel rvs 2274 voor pleisterlaagdikte 3 mm, 2600 mm","9,45 €*",10702174,https://media.hornbach.nl/hb/packshot/as.70904040.jpg?dvid=8,https://www.hornbach.nl/p/protektor-hoekprofiel-rvs-2274-voor-pleisterlaagdikte-3-mm-2600-mm/10702174/
"PROTEKTOR Hoekprofiel rvs 2274 voor pleisterlaagdikte 3 mm, 3000 mm","10,95 €*",10702178,https://media.hornbach.nl/hb/packshot/as.70905926.jpg?dvid=8,https://www.hornbach.nl/p/protektor-hoekprofiel-rvs-2274-voor-pleisterlaagdikte-3-mm-3000-mm/10702178/
"Hoekprofiel 37321 voor pleisterlaagdikte 1 mm, 2700 mm","10,50 €*",10711390,https://media.hornbach.nl/hb/packshot/as.71247986.jpg?dvid=8,https://www.hornbach.nl/p/hoekprofiel-37321-voor-pleisterlaagdikte-1-mm-2700-mm/10711390/
"PROTEKTOR Afreiprofiel verzinkt staal 1105 voor pleisterlaagdikte 10 mm, 2600 mm","2,45 €*",4133415,https://media.hornbach.nl/hb/packshot/as.124038576.jpg?dvid=8,https://www.hornbach.nl/p/protektor-afreiprofiel-verzinkt-staal-1105-voor-pleisterlaagdikte-10-mm-2600-mm/4133415/
"KNAUF Stucanet S stucgaas, 2400 x 705 mm","15,95 €*",4191353,https://media.hornbach.nl/hb/detail/as.46129228.jpg?dvid=8,https://www.hornbach.nl/p/knauf-stucanet-s-stucgaas-2400-x-705-mm/4191353/
"PROTEKTOR Buigbaar hoekprofiel hard pvc 3767 voor pleisterlaagdikte 1 mm, 3000 mm","5,45 €*",4133430,https://media.hornbach.nl/hb/detail/as.46470214.jpg?dvid=8,https://www.hornbach.nl/p/protektor-buigbaar-hoekprofiel-hard-pvc-3767-voor-pleisterlaagdikte-1-mm-3000-mm/4133430/
"PROTEKTOR Hoekprofiel verzinkt staal 1007 voor pleisterlaagdikte 10 mm, 2600 mm","2,75 €*",10702059,https://media.hornbach.nl/hb/packshot/as.70882040.jpg?dvid=8,https://www.hornbach.nl/p/protektor-hoekprofiel-verzinkt-staal-1007-voor-pleisterlaagdikte-10-mm-2600-mm/10702059/
"PROTEKTOR Hoekprofiel rvs 2218 voor pleisterlaagdikte 10 mm, 2600 mm","9,95 €*",10702175,https://media.hornbach.nl/hb/packshot/as.70908050.jpg?dvid=8,https://www.hornbach.nl/p/protektor-hoekprofiel-rvs-2218-voor-pleisterlaagdikte-10-mm-2600-mm/10702175/
"PROTEKTOR Hoekprofiel rvs 2218 voor pleisterlaagdikte 10 mm, 3000 mm","11,45 €*",10702179,https://media.hornbach.nl/hb/packshot/as.70909282.jpg?dvid=8,https://www.hornbach.nl/p/protektor-hoekprofiel-rvs-2218-voor-pleisterlaagdikte-10-mm-3000-mm/10702179/
CATNIC Ribbenstrek 250x60 cm,"6,25 €*",3880197,https://media.hornbach.nl/hb/packshot/as.46259538.jpg?dvid=8,https://www.hornbach.nl/p/catnic-ribbenstrek-250x60-cm/3880197/
