name-nl,price,artnum,image,link
KAUFMANN Tegelkruisjes 2 mm 250 stuks,"2,49 €*",7690165,https://media.hornbach.nl/hb/packshot/as.46770461.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-tegelkruisjes-2-mm-250-stuks/7690165/
KAUFMANN Tegelkruisjes 3 mm 250 stuks,"2,49 €*",7690166,https://media.hornbach.nl/hb/packshot/as.46770461.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-tegelkruisjes-3-mm-250-stuks/7690166/
"KAUFMANN Tegelkruisjes 2,5 mm 250 stuks","2,49 €*",7690167,https://media.hornbach.nl/hb/packshot/as.46770461.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-tegelkruisjes-2-5-mm-250-stuks/7690167/
KAUFMANN Tegelkruisjes 4 mm 250 stuks,"2,49 €*",7690176,https://media.hornbach.nl/hb/packshot/as.46770461.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-tegelkruisjes-4-mm-250-stuks/7690176/
"RUBI Tegelkruisjes 2 mm, 300 stuks","3,00 €*",10478644,https://media.hornbach.nl/hb/packshot/as.41630290.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tegelkruisjes-2-mm-300-stuks/10478644/
"RUBI Tegelkruisjes 1,5 mm, 300 stuks","3,00 €*",10478620,https://media.hornbach.nl/hb/packshot/as.41630301.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tegelkruisjes-1-5-mm-300-stuks/10478620/
KAUFMANN Tegelkruisjes 1 mm 250 stuks,"2,49 €*",5590718,https://media.hornbach.nl/hb/packshot/as.46770461.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-tegelkruisjes-1-mm-250-stuks/5590718/
"RUBI Tegelkruisjes 3 mm, 200 stuks","3,00 €*",10478622,https://media.hornbach.nl/hb/packshot/as.41630290.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tegelkruisjes-3-mm-200-stuks/10478622/
HUFA Voegkruisjes wit 5 mm 200 stuks,"2,80 €*",8538043,https://media.hornbach.nl/hb/packshot/as.55064299.jpg?dvid=8,https://www.hornbach.nl/p/hufa-voegkruisjes-wit-5-mm-200-stuks/8538043/
HUFA Voegkruisjes wit 6 mm 200 stuks,"2,54 €*",8538044,https://media.hornbach.nl/hb/packshot/as.47300487.jpg?dvid=8,https://www.hornbach.nl/p/hufa-voegkruisjes-wit-6-mm-200-stuks/8538044/
"RUBI Tegelkruisjes 1 mm, 300 stuks","3,00 €*",10478624,https://media.hornbach.nl/hb/packshot/as.41630299.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tegelkruisjes-1-mm-300-stuks/10478624/
"RUBI Tegelkruisjes versterkt 4 mm, 200 stuks","3,95 €*",10647801,https://media.hornbach.nl/hb/packshot/as.59465914.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tegelkruisjes-versterkt-4-mm-200-stuks/10647801/
HUFA Voegkruisjes wit 3 mm 200 stuks,"2,10 €*",8538041,https://media.hornbach.nl/hb/packshot/as.55064243.jpg?dvid=8,https://www.hornbach.nl/p/hufa-voegkruisjes-wit-3-mm-200-stuks/8538041/
"HUFA Voegkruisjes wit 2,5 mm 200 stuks","2,10 €*",8538040,https://media.hornbach.nl/hb/packshot/as.55064228.jpg?dvid=8,https://www.hornbach.nl/p/hufa-voegkruisjes-wit-2-5-mm-200-stuks/8538040/
HUFA Voegkruisjes wit 4 mm 200 stuks,"2,10 €*",8538042,https://media.hornbach.nl/hb/packshot/as.47300287.jpg?dvid=8,https://www.hornbach.nl/p/hufa-voegkruisjes-wit-4-mm-200-stuks/8538042/
