name-nl,price,artnum,image,link
"RUBI Delta level system clips 1,5 mm 3-12 mm, 400 stuks","33,30 €*",10478557,https://media.hornbach.nl/hb/packshot/as.41571750.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-clips-1-5-mm-3-12-mm-400-stuks/10478557/
"RUBI Delta levelling clips 1,5 mm 3-12 mm, 200 stuks","17,60 €*",10140525,https://media.hornbach.nl/hb/packshot/as.47565418.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-1-5-mm-3-12-mm-200-stuks/10140525/
"RUBI Delta levelling clips 2 mm 3-12 mm, 200 stuks","17,60 €*",10140531,https://media.hornbach.nl/hb/packshot/as.47565418.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-2-mm-3-12-mm-200-stuks/10140531/
RUBI Tang t.b.v. Delta Level systeem,"28,95 €*",10333501,https://media.hornbach.nl/hb/packshot/as.27196938.jpg?dvid=8,https://www.hornbach.nl/p/rubi-tang-t-b-v-delta-level-systeem/10333501/
"RUBI Delta level system clips 2 mm 3-12 mm, 400 stuks","33,30 €*",10478625,https://media.hornbach.nl/hb/packshot/as.41630278.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-clips-2-mm-3-12-mm-400-stuks/10478625/
RUBI Delta Level System keggen 200 stuks,"23,40 €*",10567067,https://media.hornbach.nl/hb/packshot/as.51158589.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-keggen-200-stuks/10567067/
"RUBI Delta level system clips 3 mm 6-15 mm, 400 stuks","34,55 €*",10478627,https://media.hornbach.nl/hb/packshot/as.41630285.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-clips-3-mm-6-15-mm-400-stuks/10478627/
"DAKOTA Starterskit nivelleersysteem 1,5mm, 100 stuks plus tang","37,95 €*",12034613,https://media.hornbach.nl/hb/packshot/as.97048224.jpg?dvid=8,https://www.hornbach.nl/p/dakota-starterskit-nivelleersysteem-1-5mm-100-stuks-plus-tang/12034613/
"DAKOTA 2L Clips 1,5mm voor nivelleersysteem, 250 stuks","15,95 €*",12034614,https://media.hornbach.nl/hb/packshot/as.82788394.jpg?dvid=8,https://www.hornbach.nl/p/dakota-2l-clips-1-5mm-voor-nivelleersysteem-250-stuks/12034614/
RUBI Delta Level System keggen 400 stuks,"42,50 €*",10567066,https://media.hornbach.nl/hb/packshot/as.51158589.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-keggen-400-stuks/10567066/
RUBI Delta Level System keggen 100 stuks,"12,65 €*",10567065,https://media.hornbach.nl/hb/packshot/as.51158589.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-level-system-keggen-100-stuks/10567065/
"RUBI Delta levelling clips 1,5 mm 3-12 mm, 100 stuks","9,00 €*",10140524,https://media.hornbach.nl/hb/packshot/as.47565418.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-1-5-mm-3-12-mm-100-stuks/10140524/
"RUBI Delta levelling clips 3 mm 6-15 mm, 200 stuks","18,00 €*",10140534,https://media.hornbach.nl/hb/packshot/as.47565418.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-3-mm-6-15-mm-200-stuks/10140534/
"DAKOTA 2L Wiggen voor nivelleersysteem, 100 stuks","10,95 €*",12034623,https://media.hornbach.nl/hb/packshot/as.82789871.jpg?dvid=8,https://www.hornbach.nl/p/dakota-2l-wiggen-voor-nivelleersysteem-100-stuks/12034623/
KAUFMANN Wiggen voor nivelleersysteem 150 st,"23,95 €*",6045348,https://media.hornbach.nl/hb/packshot/as.46324045.jpg?dvid=8,https://www.hornbach.nl/p/kaufmann-wiggen-voor-nivelleersysteem-150-st/6045348/
"RUBI Delta levelling clips 2 mm 3-12 mm, 100 stuks","9,45 €*",10140530,https://media.hornbach.nl/hb/packshot/as.47565418.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-2-mm-3-12-mm-100-stuks/10140530/
"RUBI Delta levelling clips 1,5 mm 11-20 mm, 100 stuks","10,45 €*",10140528,https://media.hornbach.nl/hb/packshot/as.47565449.jpg?dvid=8,https://www.hornbach.nl/p/rubi-delta-levelling-clips-1-5-mm-11-20-mm-100-stuks/10140528/
