name-nl,price,artnum,image,link
AKKIT 402 Flexibele tegellijm C2 TE S1 5 kg,"6,95 €*",8593789,https://media.hornbach.nl/hb/packshot/as.47538127.jpg?dvid=8,https://www.hornbach.nl/p/akkit-402-flexibele-tegellijm-c2-te-s1-5-kg/8593789/
AKKIT 402 Flexibele tegellijm C2 TE S1 25 kg,"20,95 €*",8582242,https://media.hornbach.nl/hb/packshot/as.47417241.jpg?dvid=8,https://www.hornbach.nl/p/akkit-402-flexibele-tegellijm-c2-te-s1-25-kg/8582242/
"FORBO EUROCOL Flexibele speciaal tegellijm 705, 5 kg","11,00 €*",7666514,https://media.hornbach.nl/hb/packshot/as.47092049.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-flexibele-speciaal-tegellijm-705-5-kg/7666514/
"FORBO EUROCOL Flexibele speciaal tegellijm 705, 25 kg","43,95 €*",4133057,https://media.hornbach.nl/hb/packshot/as.46465333.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-flexibele-speciaal-tegellijm-705-25-kg/4133057/
AKKIT 401 Poedertegellijm C1 T 25 kg,"12,95 €*",8585848,https://media.hornbach.nl/hb/packshot/as.47480587.jpg?dvid=8,https://www.hornbach.nl/p/akkit-401-poedertegellijm-c1-t-25-kg/8585848/
"OMNICOL Omnicem e-flex grijs, 5kg","6,75 €*",7172889,https://media.hornbach.nl/hb/packshot/as.46679087.jpg?dvid=8,https://www.hornbach.nl/p/omnicol-omnicem-e-flex-grijs-5kg/7172889/
"OMNICOL Omnicem e-flex grijs, 25kg","25,25 €*",7172888,https://media.hornbach.nl/hb/packshot/as.46678557.jpg?dvid=8,https://www.hornbach.nl/p/omnicol-omnicem-e-flex-grijs-25kg/7172888/
"FORBO EUROCOL Supercol 686, 18 kg","46,50 €*",6262768,https://media.hornbach.nl/hb/packshot/as.46121649.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-supercol-686-18-kg/6262768/
SCHÖNOX Q6 Tegelpoederlijm 25 kg,"32,55 €*",10577058,https://media.hornbach.nl/hb/packshot/as.54321302.jpg?dvid=8,https://www.hornbach.nl/p/schonox-q6-tegelpoederlijm-25-kg/10577058/
"FORBO EUROCOL Tegellijm unicol 720, 25 kg","35,50 €*",7103399,https://media.hornbach.nl/hb/packshot/as.47148224.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-tegellijm-unicol-720-25-kg/7103399/
SCHÖNOX SK Speciale tegelpoederlijm 5 kg,"15,25 €*",7046164,https://media.hornbach.nl/hb/packshot/as.46784443.jpg?dvid=8,https://www.hornbach.nl/p/schonox-sk-speciale-tegelpoederlijm-5-kg/7046164/
SCHÖNOX SK Speciale tegelpoederlijm 25 kg,"49,95 €*",7046161,https://media.hornbach.nl/hb/packshot/as.74267937.jpg?dvid=8,https://www.hornbach.nl/p/schonox-sk-speciale-tegelpoederlijm-25-kg/7046161/
"OMNICOL Omnicem PL85 prof wit, 5kg","10,95 €*",7199506,https://media.hornbach.nl/hb/packshot/as.46985908.jpg?dvid=8,https://www.hornbach.nl/p/omnicol-omnicem-pl85-prof-wit-5kg/7199506/
"OMNICOL Omnicem PL85 prof wit, 25kg","45,95 €*",7199505,https://media.hornbach.nl/hb/packshot/as.46985601.jpg?dvid=8,https://www.hornbach.nl/p/omnicol-omnicem-pl85-prof-wit-25kg/7199505/
AKKIT 406 Flexibele tegellijm lichtgewicht C2 TE S1 18 kg,"24,89 €*",6302156,https://media.hornbach.nl/hb/packshot/as.46368656.jpg?dvid=8,https://www.hornbach.nl/p/akkit-406-flexibele-tegellijm-lichtgewicht-c2-te-s1-18-kg/6302156/
"FORBO EUROCOL Majolicol Pasta tegellijm 682, 1,5 kg","9,65 €*",7664543,https://media.hornbach.nl/hb/packshot/as.47062937.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-majolicol-pasta-tegellijm-682-1-5-kg/7664543/
"FORBO EUROCOL Majolicol Pasta tegellijm 682, 4 kg","20,45 €*",4133041,https://media.hornbach.nl/hb/packshot/as.46463535.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-majolicol-pasta-tegellijm-682-4-kg/4133041/
"FORBO EUROCOL Majolicol Pasta tegellijm 682, 7 kg","34,95 €*",4133040,https://media.hornbach.nl/hb/packshot/as.46463035.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-majolicol-pasta-tegellijm-682-7-kg/4133040/
"FORBO EUROCOL Majolicol Pasta tegellijm 682, 14 kg","56,95 €*",4133075,https://media.hornbach.nl/hb/packshot/as.46467798.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-majolicol-pasta-tegellijm-682-14-kg/4133075/
AKKIT 403 Flexibele tegellijm voor natuursteen C2 FT S1 wit 25 kg,"25,75 €*",8585849,https://media.hornbach.nl/hb/packshot/as.47481891.jpg?dvid=8,https://www.hornbach.nl/p/akkit-403-flexibele-tegellijm-voor-natuursteen-c2-ft-s1-wit-25-kg/8585849/
"FORBO EUROCOL Standaard tegellijm 691, 5 kg","5,15 €*",7664544,https://media.hornbach.nl/hb/packshot/as.47063281.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-standaard-tegellijm-691-5-kg/7664544/
"FORBO EUROCOL Standaard tegellijm 691, 25 kg","17,75 €*",4133035,https://media.hornbach.nl/hb/packshot/as.46461505.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-standaard-tegellijm-691-25-kg/4133035/
"FORBO EUROCOL Elastifix Pastalijm 688, 15 kg","56,60 €*",4133076,https://media.hornbach.nl/hb/packshot/as.46468174.jpg?dvid=8,https://www.hornbach.nl/p/forbo-eurocol-elastifix-pastalijm-688-15-kg/4133076/
AKKIT 405 Sneldrogende flexibele tegellijm C2 FT S1 5 kg,"8,50 €*",5594932,https://media.hornbach.nl/hb/packshot/as.46088863.jpg?dvid=8,https://www.hornbach.nl/p/akkit-405-sneldrogende-flexibele-tegellijm-c2-ft-s1-5-kg/5594932/
AKKIT 405 sneldrogende flexibele tegellijm 25 kg,"28,95 €*",8884967,https://media.hornbach.nl/hb/packshot/as.47022560.jpg?dvid=8,https://www.hornbach.nl/p/akkit-405-sneldrogende-flexibele-tegellijm-25-kg/8884967/
SCHÖNOX SFK Standaard tegelpoederlijm 25 kg,"31,75 €*",8600465,https://media.hornbach.nl/hb/packshot/as.54323234.jpg?dvid=8,https://www.hornbach.nl/p/schonox-sfk-standaard-tegelpoederlijm-25-kg/8600465/
