name-nl,price,artnum,image,link
Vensterbank wit 30 x 205 cm,"44,00 €*",8576261,https://media.hornbach.nl/hb/packshot/as.80481440.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-wit-30-x-205-cm/8576261/
Vensterbank zwart gemêleerd 30 x 205 cm,"49,00 €*",8576262,https://media.hornbach.nl/hb/packshot/as.80481463.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-zwart-gemeleerd-30-x-205-cm/8576262/
Vensterbank zwart gemêleerd 30 x 300 cm,"64,50 €*",8576270,https://media.hornbach.nl/hb/packshot/as.80481463.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-zwart-gemeleerd-30-x-300-cm/8576270/
Vensterbank kunststof wit 25 x 300 cm,"44,00 €*",10549036,https://media.hornbach.nl/hb/packshot/as.54713243.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-kunststof-wit-25-x-300-cm/10549036/
Vensterbank kunststof wit 30 x 300 cm,"47,00 €*",10549037,https://media.hornbach.nl/hb/packshot/as.54713103.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-kunststof-wit-30-x-300-cm/10549037/
Vensterbank kunststof zwart 25 x 300 cm,"90,00 €*",10590521,https://media.hornbach.nl/hb/packshot/as.54578179.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-kunststof-zwart-25-x-300-cm/10590521/
Renovatievensterbank MDF 6 mm 30 x 240 cm,"54,00 €*",10606980,https://media.hornbach.nl/hb/packshot/as.56518572.jpg?dvid=8,https://www.hornbach.nl/p/renovatievensterbank-mdf-6-mm-30-x-240-cm/10606980/
Renovatievensterbank MDF 6 mm 30 x 300 cm,"59,50 €*",10607081,https://media.hornbach.nl/hb/packshot/as.56524052.jpg?dvid=8,https://www.hornbach.nl/p/renovatievensterbank-mdf-6-mm-30-x-300-cm/10607081/
Vensterbank kunststof steenlook 25 x 300 cm,"90,00 €*",10555547,https://media.hornbach.nl/hb/packshot/as.49737293.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-kunststof-steenlook-25-x-300-cm/10555547/
Overzetvensterbank kunststof wit,"58,00 €*",10549071,https://media.hornbach.nl/hb/packshot/as.54713726.jpg?dvid=8,https://www.hornbach.nl/p/overzetvensterbank-kunststof-wit/10549071/
Vensterbank 88x20x2 cm composiet wit,"43,95 €*",5814943,https://media.hornbach.nl/hb/packshot/as.46802221.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-88x20x2-cm-composiet-wit/5814943/
Vensterbank 101x20x2 cm composiet wit,"46,95 €*",5814929,https://media.hornbach.nl/hb/packshot/as.46802221.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-101x20x2-cm-composiet-wit/5814929/
Vensterbank 126x20x2 cm composiet wit,"49,95 €*",5814940,https://media.hornbach.nl/hb/packshot/as.46802221.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-126x20x2-cm-composiet-wit/5814940/
Vensterbank 151x20x2 cm composiet wit,"57,95 €*",5814941,https://media.hornbach.nl/hb/packshot/as.46802221.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-151x20x2-cm-composiet-wit/5814941/
Vensterbank 88x20x2 cm fine basalt,"37,95 €*",6068987,https://media.hornbach.nl/hb/packshot/as.46476117.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-88x20x2-cm-fine-basalt/6068987/
Vensterbank 101x20x2 cm fine basalt,"42,95 €*",6068975,https://media.hornbach.nl/hb/packshot/as.46476117.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-101x20x2-cm-fine-basalt/6068975/
Vensterbank 126x20x2 cm fine basalt,"52,95 €*",6068978,https://media.hornbach.nl/hb/packshot/as.46476117.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-126x20x2-cm-fine-basalt/6068978/
Vensterbank 151x20x2 cm fine basalt,"62,95 €*",6068981,https://media.hornbach.nl/hb/packshot/as.46476117.jpg?dvid=8,https://www.hornbach.nl/p/vensterbank-151x20x2-cm-fine-basalt/6068981/
